,round_1,round_2,round_3
variant_93,7.0,6.0,3.0
variant_94,8.0,0.0,1.0
variant_95,3.0,0.0,0.0
variant_96,1.0,1.0,2.0
variant_97,8.0,0.0,0.0
variant_98,2.0,0.0,0.0
variant_99,20.0,46.0,17.0
variant_100,6.0,0.0,0.0
variant_101,12.0,15.0,0.0
variant_102,4.0,2.0,1.0
variant_103,15.0,5.0,0.0
variant_104,2.0,0.0,0.0
variant_105,1.0,0.0,0.0
variant_106,4.0,8.0,0.0
variant_107,12.0,9.0,5.0
variant_108,1.0,3.0,0.0
variant_109,6.0,1.0,0.0
variant_110,17.0,4.0,0.0
variant_111,1.0,1.0,0.0
variant_112,5.0,0.0,0.0
variant_113,1.0,0.0,0.0
variant_114,1.0,0.0,0.0
variant_115,1.0,0.0,0.0
variant_116,1.0,0.0,0.0
variant_117,5.0,2.0,0.0
variant_118,10.0,10.0,7.0
variant_119,15.0,13.0,3.0
variant_120,1.0,0.0,0.0
variant_121,14.0,18.0,12.0
variant_122,1.0,0.0,0.0
variant_123,14.0,28.0,5.0
variant_124,43.0,36.0,5.0
variant_125,19.0,5.0,1.0
variant_126,7.0,4.0,4.0
variant_127,9.0,7.0,3.0
variant_128,1.0,0.0,0.0
variant_129,8.0,1.0,0.0
variant_130,1.0,8.0,3.0
variant_131,9.0,7.0,2.0
variant_132,3.0,0.0,0.0
variant_133,4.0,12.0,1.0
variant_134,3.0,0.0,0.0
variant_135,8.0,7.0,2.0
variant_136,8.0,6.0,2.0
variant_137,1.0,0.0,0.0
variant_138,2.0,0.0,0.0
variant_139,5.0,3.0,0.0
variant_140,8.0,0.0,0.0
variant_141,8.0,0.0,0.0
variant_142,2.0,11.0,0.0
variant_143,1.0,0.0,0.0
variant_144,5.0,4.0,0.0
variant_145,2.0,0.0,0.0
variant_146,1.0,0.0,0.0
variant_147,6.0,5.0,0.0
variant_148,7.0,0.0,0.0
variant_149,6.0,0.0,0.0
variant_150,7.0,0.0,0.0
variant_151,4.0,0.0,0.0
variant_152,1.0,0.0,0.0
variant_153,1.0,0.0,0.0
variant_154,1.0,0.0,0.0
variant_155,2.0,5.0,2.0
variant_156,1.0,0.0,0.0
variant_157,7.0,25.0,13.0
variant_158,1.0,0.0,0.0
variant_159,1.0,0.0,0.0
variant_160,1.0,0.0,0.0
variant_161,4.0,12.0,0.0
variant_162,2.0,14.0,8.0
variant_163,1.0,0.0,0.0
variant_164,18.0,18.0,1.0
variant_165,2.0,0.0,0.0
variant_166,2.0,2.0,0.0
variant_167,10.0,0.0,0.0
variant_168,1.0,0.0,0.0
variant_169,2.0,0.0,0.0
variant_170,2.0,17.0,6.0
variant_171,9.0,0.0,0.0
variant_172,2.0,4.0,2.0
variant_173,1.0,0.0,0.0
variant_174,2.0,0.0,0.0
variant_175,6.0,0.0,0.0
variant_176,9.0,6.0,1.0
variant_177,1.0,0.0,0.0
variant_178,5.0,0.0,0.0
variant_179,1.0,0.0,0.0
variant_180,1.0,0.0,0.0
variant_181,1.0,2.0,0.0
variant_182,1.0,0.0,0.0
variant_183,8.0,7.0,1.0
variant_184,1.0,3.0,0.0
variant_185,6.0,17.0,7.0
variant_186,3.0,0.0,1.0
variant_187,6.0,0.0,0.0
variant_188,16.0,27.0,0.0
variant_189,8.0,12.0,6.0
variant_190,3.0,19.0,4.0
variant_191,6.0,3.0,0.0
variant_192,6.0,0.0,0.0
variant_193,3.0,0.0,0.0
variant_194,1.0,0.0,0.0
variant_195,1.0,0.0,0.0
variant_196,1.0,0.0,0.0
variant_197,1.0,0.0,0.0
variant_198,1.0,0.0,0.0
variant_199,12.0,10.0,5.0
variant_200,4.0,14.0,2.0
variant_201,6.0,16.0,3.0
variant_202,4.0,14.0,11.0
variant_203,1.0,0.0,0.0
variant_204,6.0,0.0,1.0
variant_205,2.0,5.0,0.0
variant_206,1.0,0.0,0.0
variant_207,4.0,3.0,0.0
variant_208,10.0,0.0,0.0
variant_209,1.0,0.0,0.0
variant_210,4.0,7.0,0.0
variant_211,11.0,7.0,1.0
variant_212,11.0,20.0,10.0
variant_213,1.0,0.0,0.0
variant_214,6.0,0.0,0.0
variant_215,5.0,14.0,2.0
variant_216,2.0,9.0,4.0
variant_217,9.0,3.0,0.0
variant_218,4.0,7.0,3.0
variant_219,1.0,0.0,0.0
variant_220,4.0,3.0,0.0
variant_221,7.0,32.0,18.0
variant_222,1.0,0.0,0.0
variant_223,1.0,0.0,0.0
variant_224,1.0,0.0,0.0
variant_225,1.0,0.0,0.0
variant_226,7.0,3.0,0.0
variant_227,3.0,0.0,0.0
variant_228,12.0,1.0,0.0
variant_229,2.0,0.0,0.0
variant_230,4.0,0.0,0.0
variant_231,12.0,2.0,0.0
variant_232,1.0,0.0,0.0
variant_233,1.0,0.0,0.0
variant_234,6.0,4.0,0.0
variant_235,8.0,5.0,6.0
variant_236,3.0,1.0,0.0
variant_237,8.0,0.0,0.0
variant_238,7.0,1.0,3.0
variant_239,1.0,1.0,0.0
variant_240,3.0,12.0,6.0
variant_241,5.0,2.0,1.0
variant_242,1.0,0.0,0.0
variant_243,1.0,0.0,0.0
variant_244,7.0,0.0,0.0
variant_245,11.0,0.0,0.0
variant_246,1.0,0.0,0.0
variant_247,1.0,0.0,0.0
variant_248,9.0,7.0,4.0
variant_249,7.0,9.0,11.0
variant_250,15.0,0.0,0.0
variant_251,9.0,0.0,0.0
variant_252,6.0,0.0,0.0
variant_253,1.0,0.0,0.0
variant_254,11.0,16.0,7.0
variant_255,37.0,18.0,0.0
variant_256,16.0,12.0,6.0
variant_257,5.0,0.0,0.0
variant_258,3.0,0.0,0.0
variant_259,3.0,1.0,0.0
variant_260,12.0,13.0,1.0
variant_261,2.0,0.0,0.0
variant_262,1.0,0.0,0.0
variant_263,4.0,6.0,0.0
variant_264,1.0,0.0,1.0
variant_265,3.0,0.0,0.0
variant_266,6.0,0.0,0.0
variant_267,1.0,0.0,0.0
variant_268,1.0,0.0,0.0
variant_269,1.0,0.0,0.0
variant_270,4.0,2.0,1.0
variant_271,4.0,0.0,0.0
variant_272,1.0,0.0,0.0
variant_273,10.0,0.0,0.0
variant_274,11.0,7.0,1.0
variant_275,5.0,0.0,0.0
variant_276,1.0,0.0,0.0
variant_277,4.0,0.0,0.0
variant_278,16.0,8.0,0.0
variant_279,1.0,0.0,0.0
variant_280,16.0,34.0,5.0
variant_281,6.0,0.0,0.0
variant_282,2.0,26.0,2.0
variant_283,8.0,15.0,0.0
variant_284,6.0,7.0,1.0
variant_285,2.0,0.0,0.0
variant_286,10.0,11.0,0.0
variant_287,13.0,3.0,0.0
variant_288,4.0,0.0,0.0
variant_289,2.0,0.0,0.0
variant_290,8.0,9.0,3.0
variant_291,1.0,0.0,0.0
variant_292,2.0,6.0,1.0
variant_293,1.0,0.0,0.0
variant_294,1.0,0.0,0.0
variant_295,1.0,0.0,0.0
variant_296,1.0,0.0,0.0
variant_297,1.0,0.0,0.0
variant_298,2.0,0.0,0.0
variant_299,9.0,0.0,0.0
variant_300,4.0,0.0,0.0
variant_301,1.0,0.0,0.0
variant_302,2.0,0.0,0.0
variant_303,3.0,0.0,0.0
variant_304,7.0,0.0,0.0
variant_305,6.0,1.0,0.0
variant_306,5.0,15.0,2.0
variant_307,1.0,0.0,0.0
variant_308,16.0,0.0,0.0
variant_309,1.0,2.0,0.0
variant_310,6.0,0.0,0.0
variant_311,2.0,1.0,0.0
variant_312,1.0,0.0,0.0
variant_313,4.0,4.0,0.0
variant_314,1.0,0.0,0.0
variant_315,4.0,0.0,0.0
variant_316,1.0,0.0,0.0
variant_317,14.0,5.0,0.0
variant_318,1.0,0.0,0.0
variant_319,1.0,0.0,0.0
variant_320,1.0,0.0,0.0
variant_321,6.0,0.0,0.0
variant_322,6.0,0.0,0.0
variant_323,4.0,1.0,0.0
variant_324,2.0,0.0,0.0
variant_325,3.0,0.0,0.0
variant_326,5.0,3.0,0.0
variant_327,4.0,0.0,0.0
variant_328,10.0,5.0,0.0
variant_329,1.0,0.0,0.0
variant_330,6.0,1.0,0.0
variant_331,1.0,0.0,0.0
variant_332,1.0,0.0,0.0
variant_333,8.0,1.0,0.0
variant_334,11.0,4.0,2.0
variant_335,1.0,0.0,0.0
variant_336,2.0,0.0,0.0
variant_337,1.0,0.0,0.0
variant_338,4.0,0.0,0.0
variant_339,3.0,1.0,0.0
variant_340,3.0,0.0,0.0
variant_341,1.0,0.0,0.0
variant_342,3.0,3.0,2.0
variant_343,1.0,0.0,0.0
variant_344,2.0,0.0,0.0
variant_345,16.0,20.0,8.0
variant_346,9.0,0.0,0.0
variant_347,1.0,0.0,0.0
variant_348,1.0,0.0,0.0
variant_349,1.0,0.0,0.0
variant_350,1.0,0.0,0.0
variant_351,8.0,0.0,1.0
variant_352,2.0,24.0,1.0
variant_353,6.0,0.0,0.0
variant_354,3.0,0.0,0.0
variant_355,9.0,3.0,0.0
variant_356,9.0,1.0,0.0
variant_357,3.0,9.0,7.0
variant_358,6.0,14.0,2.0
variant_359,1.0,0.0,0.0
variant_360,12.0,2.0,3.0
variant_361,8.0,3.0,0.0
variant_362,4.0,2.0,0.0
variant_363,1.0,0.0,0.0
variant_364,2.0,0.0,0.0
variant_365,1.0,0.0,0.0
variant_366,1.0,0.0,0.0
variant_367,1.0,1.0,0.0
variant_368,16.0,30.0,5.0
variant_369,3.0,12.0,3.0
variant_370,2.0,0.0,0.0
variant_371,8.0,14.0,3.0
variant_372,2.0,0.0,0.0
variant_373,2.0,0.0,0.0
variant_374,1.0,0.0,0.0
variant_375,1.0,2.0,0.0
variant_376,8.0,0.0,0.0
variant_377,6.0,0.0,0.0
variant_378,15.0,0.0,0.0
variant_379,5.0,0.0,0.0
variant_380,3.0,0.0,0.0
variant_381,6.0,30.0,7.0
variant_382,12.0,0.0,0.0
variant_383,11.0,0.0,0.0
variant_384,13.0,2.0,1.0
variant_385,2.0,2.0,0.0
variant_386,12.0,13.0,2.0
variant_387,10.0,8.0,2.0
variant_388,1.0,0.0,0.0
variant_389,3.0,0.0,0.0
variant_390,1.0,0.0,0.0
variant_391,1.0,0.0,0.0
variant_392,8.0,0.0,0.0
variant_393,1.0,0.0,0.0
variant_394,1.0,0.0,0.0
variant_395,6.0,0.0,0.0
variant_396,3.0,2.0,4.0
variant_397,6.0,0.0,0.0
variant_398,20.0,19.0,7.0
variant_399,8.0,0.0,0.0
variant_400,6.0,7.0,2.0
variant_401,6.0,0.0,0.0
variant_402,19.0,11.0,1.0
variant_403,3.0,0.0,0.0
variant_404,1.0,0.0,0.0
variant_405,3.0,0.0,0.0
variant_406,2.0,10.0,0.0
variant_407,5.0,0.0,0.0
variant_408,8.0,0.0,0.0
variant_409,2.0,1.0,0.0
variant_410,8.0,7.0,0.0
variant_411,29.0,6.0,1.0
variant_412,1.0,0.0,0.0
variant_413,3.0,8.0,1.0
variant_414,11.0,5.0,0.0
variant_415,5.0,3.0,0.0
variant_416,1.0,0.0,0.0
variant_417,8.0,2.0,0.0
variant_418,4.0,0.0,0.0
variant_419,1.0,0.0,0.0
variant_420,229.0,69.0,7.0
variant_421,1.0,0.0,0.0
variant_422,4.0,0.0,0.0
variant_423,4.0,3.0,0.0
variant_424,13.0,5.0,5.0
variant_425,9.0,0.0,0.0
variant_426,5.0,0.0,0.0
variant_427,5.0,9.0,5.0
variant_428,3.0,4.0,0.0
variant_429,2.0,1.0,0.0
variant_430,4.0,0.0,0.0
variant_431,3.0,7.0,0.0
variant_432,6.0,0.0,0.0
variant_433,1.0,0.0,0.0
variant_434,4.0,0.0,0.0
variant_435,9.0,0.0,0.0
variant_436,18.0,2.0,0.0
variant_437,1.0,0.0,0.0
variant_438,3.0,1.0,0.0
variant_439,1.0,0.0,0.0
variant_440,1.0,0.0,0.0
variant_441,20.0,30.0,8.0
variant_442,1.0,0.0,0.0
variant_443,5.0,0.0,2.0
variant_444,3.0,10.0,2.0
variant_445,4.0,0.0,0.0
variant_446,1.0,0.0,0.0
variant_447,10.0,1.0,0.0
variant_448,1.0,0.0,0.0
variant_449,2.0,18.0,0.0
variant_450,1.0,0.0,0.0
variant_451,8.0,24.0,5.0
variant_452,1.0,0.0,0.0
variant_453,1.0,0.0,0.0
variant_454,1.0,0.0,0.0
variant_455,10.0,2.0,1.0
variant_456,1.0,0.0,0.0
variant_457,1.0,0.0,0.0
variant_458,4.0,1.0,0.0
variant_459,6.0,0.0,0.0
variant_460,11.0,10.0,1.0
variant_461,1.0,0.0,0.0
variant_462,1.0,0.0,0.0
variant_463,1.0,0.0,0.0
variant_464,2.0,0.0,0.0
variant_465,5.0,0.0,0.0
variant_466,1.0,0.0,0.0
variant_467,9.0,14.0,3.0
variant_468,1.0,0.0,0.0
variant_469,4.0,0.0,0.0
variant_470,6.0,5.0,0.0
variant_471,5.0,11.0,2.0
variant_472,1.0,0.0,0.0
variant_473,1.0,0.0,0.0
variant_474,4.0,4.0,0.0
variant_475,12.0,0.0,0.0
variant_476,1.0,0.0,0.0
variant_477,4.0,4.0,0.0
variant_478,7.0,0.0,0.0
variant_479,5.0,11.0,1.0
variant_480,3.0,0.0,0.0
variant_481,14.0,2.0,0.0
variant_482,4.0,0.0,0.0
variant_483,3.0,0.0,0.0
variant_484,12.0,3.0,2.0
variant_485,8.0,0.0,0.0
variant_486,5.0,1.0,0.0
variant_487,7.0,8.0,3.0
variant_488,1.0,0.0,0.0
variant_489,4.0,0.0,0.0
variant_490,7.0,0.0,0.0
variant_491,2.0,0.0,0.0
variant_492,8.0,0.0,0.0
variant_493,8.0,0.0,0.0
variant_494,1.0,0.0,0.0
variant_495,8.0,2.0,0.0
variant_496,1.0,0.0,0.0
variant_497,7.0,15.0,10.0
variant_498,2.0,0.0,0.0
variant_499,3.0,0.0,0.0
variant_500,6.0,16.0,10.0
variant_501,8.0,14.0,2.0
variant_502,1.0,0.0,0.0
variant_503,22.0,7.0,1.0
variant_504,1.0,6.0,1.0
variant_505,5.0,0.0,0.0
variant_506,1.0,0.0,0.0
variant_507,1.0,0.0,0.0
variant_508,4.0,0.0,0.0
variant_509,1.0,0.0,0.0
variant_510,1.0,0.0,0.0
variant_511,2.0,0.0,0.0
variant_512,5.0,6.0,1.0
variant_513,12.0,9.0,2.0
variant_514,11.0,7.0,0.0
variant_515,2.0,0.0,0.0
variant_516,1.0,0.0,0.0
variant_517,7.0,21.0,0.0
variant_518,5.0,1.0,0.0
variant_519,5.0,0.0,0.0
variant_520,11.0,1.0,0.0
variant_521,1.0,0.0,0.0
variant_522,9.0,0.0,0.0
variant_523,3.0,0.0,0.0
variant_524,1.0,0.0,0.0
variant_525,6.0,0.0,0.0
variant_526,5.0,0.0,0.0
variant_527,10.0,4.0,3.0
variant_528,1.0,0.0,1.0
variant_529,5.0,1.0,0.0
variant_530,5.0,18.0,0.0
variant_531,1.0,13.0,3.0
variant_532,4.0,1.0,1.0
variant_533,11.0,22.0,2.0
variant_534,4.0,20.0,0.0
variant_535,1.0,0.0,0.0
variant_536,1.0,0.0,0.0
variant_537,7.0,0.0,0.0
variant_538,1.0,0.0,1.0
variant_539,1.0,0.0,0.0
variant_540,12.0,5.0,0.0
variant_541,5.0,0.0,0.0
variant_542,8.0,4.0,0.0
variant_543,9.0,8.0,0.0
variant_544,11.0,0.0,0.0
variant_545,15.0,16.0,0.0
variant_546,2.0,0.0,0.0
variant_547,1.0,0.0,0.0
variant_548,1.0,0.0,0.0
variant_549,1.0,4.0,4.0
variant_550,1.0,0.0,0.0
variant_551,1.0,0.0,2.0
variant_552,6.0,0.0,0.0
variant_553,4.0,6.0,0.0
variant_554,4.0,0.0,0.0
variant_555,2.0,0.0,0.0
variant_556,1.0,0.0,0.0
variant_557,11.0,6.0,0.0
variant_558,11.0,7.0,0.0
variant_559,7.0,0.0,0.0
variant_560,5.0,1.0,0.0
variant_561,1.0,0.0,0.0
variant_562,1.0,0.0,0.0
variant_563,3.0,1.0,1.0
variant_564,9.0,7.0,0.0
variant_565,11.0,3.0,0.0
variant_566,2.0,10.0,0.0
variant_567,15.0,24.0,2.0
variant_568,16.0,3.0,0.0
variant_569,10.0,8.0,2.0
variant_570,1.0,2.0,0.0
variant_571,6.0,1.0,0.0
variant_572,4.0,0.0,0.0
variant_573,1.0,0.0,0.0
variant_574,1.0,0.0,0.0
variant_575,1.0,0.0,0.0
variant_576,3.0,0.0,0.0
variant_577,3.0,0.0,0.0
variant_578,5.0,0.0,0.0
variant_579,10.0,9.0,1.0
variant_580,2.0,0.0,0.0
variant_581,7.0,8.0,2.0
variant_582,11.0,57.0,34.0
variant_583,6.0,0.0,0.0
variant_584,7.0,0.0,0.0
variant_585,8.0,4.0,0.0
variant_586,1.0,0.0,0.0
variant_587,8.0,16.0,4.0
variant_588,3.0,4.0,0.0
variant_589,1.0,0.0,0.0
variant_590,42.0,5.0,0.0
variant_591,2.0,4.0,4.0
variant_592,4.0,2.0,0.0
variant_593,1.0,1.0,1.0
variant_594,15.0,0.0,0.0
variant_595,5.0,0.0,0.0
variant_596,6.0,0.0,0.0
variant_597,2.0,0.0,0.0
variant_598,1.0,0.0,0.0
variant_599,7.0,33.0,36.0
variant_600,9.0,0.0,0.0
variant_601,2.0,1.0,1.0
variant_602,6.0,27.0,5.0
variant_603,6.0,0.0,0.0
variant_604,1.0,0.0,0.0
variant_605,10.0,0.0,0.0
variant_606,4.0,0.0,0.0
variant_607,6.0,0.0,0.0
variant_608,1.0,0.0,0.0
variant_609,2.0,0.0,0.0
variant_610,1.0,0.0,0.0
variant_611,11.0,3.0,0.0
variant_612,2.0,0.0,0.0
variant_613,3.0,15.0,5.0
variant_614,4.0,13.0,7.0
variant_615,3.0,0.0,0.0
variant_616,13.0,8.0,2.0
variant_617,4.0,0.0,0.0
variant_618,1.0,0.0,0.0
variant_619,5.0,0.0,0.0
variant_620,1.0,0.0,0.0
variant_621,1.0,0.0,0.0
variant_622,1.0,0.0,0.0
variant_623,10.0,5.0,7.0
variant_624,1.0,0.0,0.0
variant_625,1.0,0.0,0.0
variant_626,4.0,4.0,0.0
variant_627,12.0,20.0,5.0
variant_628,1.0,0.0,0.0
variant_629,3.0,0.0,0.0
variant_630,1.0,0.0,0.0
variant_631,8.0,1.0,1.0
variant_632,1.0,0.0,0.0
variant_633,1.0,0.0,0.0
variant_634,8.0,5.0,3.0
variant_635,4.0,0.0,0.0
variant_636,1.0,0.0,0.0
variant_637,2.0,0.0,0.0
variant_638,3.0,0.0,0.0
variant_639,2.0,1.0,1.0
variant_640,4.0,18.0,7.0
variant_641,3.0,7.0,1.0
variant_642,1.0,0.0,0.0
variant_643,2.0,8.0,1.0
variant_644,1.0,0.0,0.0
variant_645,10.0,5.0,1.0
variant_646,6.0,14.0,10.0
variant_647,7.0,0.0,0.0
variant_648,13.0,12.0,6.0
variant_649,8.0,5.0,0.0
variant_650,1.0,0.0,0.0
variant_651,1.0,0.0,0.0
variant_652,3.0,7.0,0.0
variant_653,1.0,0.0,0.0
variant_654,3.0,1.0,0.0
variant_655,9.0,12.0,0.0
variant_656,7.0,0.0,0.0
variant_657,11.0,8.0,0.0
variant_658,8.0,7.0,0.0
variant_659,1.0,0.0,0.0
variant_660,1.0,0.0,0.0
variant_661,8.0,15.0,0.0
variant_662,1.0,0.0,0.0
variant_663,10.0,6.0,1.0
variant_664,4.0,12.0,5.0
variant_665,8.0,9.0,0.0
variant_666,1.0,8.0,1.0
variant_667,3.0,2.0,0.0
variant_668,3.0,2.0,3.0
variant_669,40.0,20.0,1.0
variant_670,10.0,0.0,0.0
variant_671,2.0,5.0,0.0
variant_672,1.0,0.0,0.0
variant_673,7.0,7.0,7.0
variant_674,3.0,0.0,0.0
variant_675,2.0,5.0,4.0
variant_676,4.0,1.0,0.0
variant_677,7.0,6.0,2.0
variant_678,3.0,1.0,0.0
variant_679,3.0,5.0,0.0
variant_680,9.0,31.0,19.0
variant_681,10.0,10.0,1.0
variant_682,10.0,9.0,1.0
variant_683,1.0,0.0,0.0
variant_684,1.0,0.0,0.0
variant_685,10.0,1.0,0.0
variant_686,6.0,5.0,0.0
variant_687,4.0,19.0,0.0
variant_688,8.0,0.0,0.0
variant_689,3.0,13.0,4.0
variant_690,11.0,1.0,0.0
variant_691,7.0,1.0,0.0
variant_692,4.0,0.0,0.0
variant_693,1.0,0.0,0.0
variant_694,1.0,0.0,0.0
variant_695,10.0,0.0,0.0
variant_696,3.0,0.0,0.0
variant_697,1.0,0.0,0.0
variant_698,9.0,0.0,0.0
variant_699,4.0,0.0,0.0
variant_700,8.0,4.0,0.0
variant_701,1.0,0.0,0.0
variant_702,4.0,0.0,0.0
variant_703,6.0,3.0,0.0
variant_704,2.0,0.0,0.0
variant_705,1.0,0.0,0.0
variant_706,12.0,0.0,0.0
variant_707,2.0,5.0,0.0
variant_708,7.0,2.0,0.0
variant_709,16.0,0.0,0.0
variant_710,3.0,1.0,3.0
variant_711,8.0,13.0,1.0
variant_712,1.0,0.0,0.0
variant_713,9.0,1.0,0.0
variant_714,6.0,8.0,5.0
variant_715,9.0,0.0,0.0
variant_716,6.0,11.0,3.0
variant_717,1.0,2.0,1.0
variant_718,1.0,0.0,0.0
variant_719,7.0,3.0,2.0
variant_720,1.0,0.0,1.0
variant_721,9.0,3.0,0.0
variant_722,8.0,0.0,0.0
variant_723,4.0,2.0,0.0
variant_724,9.0,0.0,0.0
variant_725,1.0,0.0,0.0
variant_726,11.0,0.0,0.0
variant_727,1.0,0.0,0.0
variant_728,5.0,0.0,0.0
variant_729,1.0,0.0,0.0
variant_730,8.0,7.0,2.0
variant_731,3.0,2.0,0.0
variant_732,1.0,0.0,0.0
variant_733,12.0,36.0,6.0
variant_734,2.0,0.0,0.0
variant_735,9.0,0.0,0.0
variant_736,5.0,0.0,0.0
variant_737,9.0,3.0,0.0
variant_738,23.0,10.0,2.0
variant_739,1.0,0.0,0.0
variant_740,6.0,5.0,1.0
variant_741,6.0,4.0,0.0
variant_742,1.0,0.0,0.0
variant_743,14.0,0.0,0.0
variant_744,12.0,25.0,12.0
variant_745,1.0,0.0,0.0
variant_746,9.0,0.0,0.0
variant_747,11.0,2.0,0.0
variant_748,2.0,0.0,0.0
variant_749,18.0,12.0,0.0
variant_750,2.0,0.0,0.0
variant_751,1.0,0.0,0.0
variant_752,8.0,0.0,0.0
variant_753,6.0,0.0,0.0
variant_754,7.0,35.0,4.0
variant_755,5.0,12.0,1.0
variant_756,1.0,0.0,0.0
variant_757,9.0,6.0,0.0
variant_758,1.0,0.0,0.0
variant_759,6.0,0.0,0.0
variant_760,8.0,8.0,3.0
variant_761,4.0,2.0,0.0
variant_762,1.0,0.0,0.0
variant_763,1.0,0.0,0.0
variant_764,2.0,0.0,0.0
variant_765,3.0,17.0,1.0
variant_766,7.0,15.0,16.0
variant_767,4.0,0.0,0.0
variant_768,1.0,0.0,0.0
variant_769,6.0,12.0,1.0
variant_770,1.0,0.0,0.0
variant_771,2.0,0.0,0.0
variant_772,12.0,6.0,0.0
variant_773,10.0,0.0,0.0
variant_774,7.0,2.0,0.0
variant_775,3.0,14.0,0.0
variant_776,14.0,9.0,0.0
variant_777,1.0,0.0,0.0
variant_778,11.0,13.0,5.0
variant_779,3.0,9.0,1.0
variant_780,1.0,0.0,0.0
variant_781,10.0,2.0,0.0
variant_782,7.0,2.0,0.0
variant_783,11.0,1.0,0.0
variant_784,13.0,4.0,0.0
variant_785,5.0,18.0,9.0
variant_786,1.0,0.0,0.0
variant_787,7.0,6.0,0.0
variant_788,3.0,1.0,0.0
variant_789,1.0,0.0,0.0
variant_790,3.0,0.0,0.0
variant_791,1.0,0.0,0.0
variant_792,8.0,11.0,4.0
variant_793,1.0,0.0,0.0
variant_794,8.0,2.0,0.0
variant_795,1.0,2.0,0.0
variant_796,9.0,5.0,1.0
variant_797,4.0,0.0,0.0
variant_798,1.0,1.0,0.0
variant_799,4.0,0.0,0.0
variant_800,9.0,2.0,0.0
variant_801,1.0,0.0,0.0
variant_802,8.0,15.0,14.0
variant_803,8.0,3.0,0.0
variant_804,1.0,0.0,0.0
variant_805,8.0,4.0,2.0
variant_806,14.0,12.0,3.0
variant_807,4.0,0.0,0.0
variant_808,1.0,2.0,0.0
variant_809,2.0,6.0,0.0
variant_810,2.0,10.0,3.0
variant_811,3.0,10.0,0.0
variant_812,11.0,2.0,0.0
variant_813,3.0,0.0,0.0
variant_814,4.0,2.0,0.0
variant_815,3.0,0.0,0.0
variant_816,6.0,6.0,0.0
variant_817,4.0,5.0,0.0
variant_818,13.0,5.0,1.0
variant_819,1.0,0.0,0.0
variant_820,8.0,10.0,2.0
variant_821,16.0,1.0,0.0
variant_822,1.0,0.0,0.0
