,c_0,c_1,c_2,c_3,c_4,c_5
variant_40,94.0,2.0,2.0,0.0,0.0,0.0
variant_41,117.0,2.0,0.0,0.0,0.0,0.0
variant_42,55.0,5.0,0.0,0.0,0.0,0.0
variant_43,120.0,29.0,2.0,0.0,0.0,0.0
variant_44,115.0,4.0,0.0,0.0,0.0,0.0
variant_45,3735.0,272.0,113.0,142.0,75.0,29.0
variant_46,357.0,126.0,47.0,60.0,39.0,14.0
variant_47,192.0,6.0,5.0,12.0,28.0,16.0
variant_48,224.0,52.0,20.0,3.0,0.0,0.0
variant_49,349.0,42.0,15.0,1.0,0.0,0.0
variant_50,57.0,13.0,0.0,0.0,0.0,0.0
variant_51,190.0,11.0,0.0,0.0,0.0,0.0
variant_52,1116.0,106.0,55.0,37.0,51.0,7.0
variant_53,57.0,2.0,0.0,0.0,0.0,0.0
variant_54,556.0,28.0,8.0,0.0,0.0,0.0
variant_55,78.0,4.0,0.0,0.0,0.0,0.0
variant_56,91.0,27.0,12.0,20.0,6.0,1.0
variant_57,12.0,0.0,0.0,0.0,0.0,0.0
variant_58,490.0,19.0,2.0,5.0,4.0,3.0
variant_59,787.0,40.0,16.0,30.0,18.0,1.0
variant_60,161.0,6.0,0.0,0.0,0.0,0.0
variant_61,64.0,7.0,0.0,0.0,0.0,0.0
variant_62,77.0,0.0,0.0,0.0,0.0,0.0
variant_63,181.0,37.0,4.0,1.0,2.0,1.0
variant_64,114.0,2.0,0.0,0.0,0.0,0.0
variant_65,105.0,4.0,0.0,0.0,0.0,0.0
variant_66,84.0,2.0,0.0,0.0,0.0,0.0
variant_67,583.0,86.0,57.0,98.0,109.0,49.0
variant_68,43.0,0.0,0.0,0.0,0.0,0.0
variant_69,525.0,77.0,12.0,34.0,17.0,6.0
variant_70,235.0,3.0,0.0,0.0,0.0,0.0
variant_71,231.0,15.0,8.0,6.0,1.0,1.0
variant_72,70.0,0.0,0.0,0.0,0.0,0.0
variant_73,187.0,86.0,27.0,37.0,22.0,9.0
variant_74,952.0,200.0,108.0,138.0,182.0,98.0
variant_75,1219.0,326.0,183.0,305.0,241.0,90.0
variant_76,131.0,5.0,0.0,0.0,0.0,0.0
variant_77,386.0,38.0,13.0,20.0,8.0,2.0
variant_78,725.0,69.0,19.0,48.0,46.0,32.0
variant_79,4.0,0.0,0.0,0.0,0.0,0.0
variant_80,80.0,5.0,0.0,0.0,0.0,0.0
variant_81,1162.0,144.0,53.0,57.0,25.0,15.0
variant_82,1075.0,202.0,93.0,33.0,27.0,12.0
variant_83,4.0,0.0,0.0,0.0,0.0,0.0
variant_84,319.0,3.0,2.0,0.0,0.0,0.0
variant_85,180.0,63.0,66.0,156.0,202.0,129.0
variant_86,55.0,0.0,0.0,0.0,0.0,0.0
variant_87,165.0,18.0,3.0,0.0,0.0,0.0
variant_88,155.0,10.0,0.0,0.0,0.0,0.0
variant_89,692.0,78.0,26.0,30.0,28.0,16.0
variant_90,395.0,2.0,0.0,0.0,0.0,0.0
variant_91,71.0,0.0,0.0,0.0,0.0,0.0
variant_92,948.0,256.0,138.0,174.0,217.0,118.0
variant_93,2673.0,452.0,213.0,378.0,256.0,111.0
variant_94,219.0,45.0,29.0,20.0,2.0,5.0
variant_95,114.0,4.0,0.0,0.0,0.0,0.0
variant_96,390.0,50.0,5.0,3.0,1.0,0.0
variant_97,140.0,57.0,14.0,20.0,13.0,5.0
variant_98,491.0,68.0,12.0,32.0,1.0,3.0
variant_99,1255.0,197.0,68.0,88.0,112.0,42.0
variant_100,240.0,13.0,0.0,1.0,0.0,0.0
variant_101,69.0,0.0,0.0,0.0,0.0,0.0
variant_102,496.0,93.0,29.0,34.0,20.0,6.0
variant_103,48.0,0.0,0.0,0.0,0.0,0.0
variant_104,161.0,11.0,2.0,3.0,1.0,0.0
variant_105,85.0,5.0,0.0,0.0,0.0,0.0
variant_106,1533.0,241.0,86.0,137.0,78.0,37.0
variant_107,611.0,83.0,17.0,18.0,9.0,5.0
variant_108,471.0,50.0,14.0,4.0,9.0,0.0
variant_109,251.0,17.0,8.0,37.0,14.0,0.0
variant_110,31.0,0.0,0.0,0.0,0.0,0.0
variant_111,137.0,23.0,13.0,20.0,12.0,0.0
variant_112,1309.0,131.0,66.0,41.0,19.0,3.0
variant_113,145.0,33.0,5.0,0.0,0.0,0.0
variant_114,58.0,0.0,0.0,0.0,0.0,0.0
variant_115,1433.0,161.0,61.0,26.0,19.0,2.0
variant_116,71.0,2.0,0.0,0.0,0.0,0.0
variant_117,66.0,0.0,0.0,0.0,0.0,0.0
variant_118,117.0,8.0,2.0,2.0,0.0,0.0
variant_119,722.0,84.0,87.0,120.0,45.0,16.0
variant_120,3064.0,729.0,367.0,465.0,431.0,359.0
variant_121,13.0,1.0,0.0,0.0,0.0,0.0
variant_122,391.0,67.0,43.0,31.0,74.0,31.0
variant_123,99.0,0.0,0.0,0.0,0.0,0.0
variant_124,317.0,14.0,4.0,6.0,0.0,0.0
variant_125,179.0,54.0,24.0,43.0,24.0,10.0
variant_126,45.0,0.0,0.0,0.0,0.0,0.0
variant_127,2147.0,520.0,222.0,426.0,502.0,226.0
variant_128,136.0,9.0,0.0,0.0,0.0,0.0
variant_129,108.0,11.0,1.0,2.0,0.0,0.0
variant_130,324.0,101.0,36.0,76.0,68.0,17.0
variant_131,141.0,4.0,0.0,8.0,0.0,0.0
variant_132,3341.0,520.0,313.0,627.0,586.0,323.0
variant_133,18.0,0.0,0.0,0.0,0.0,0.0
variant_134,659.0,43.0,13.0,9.0,7.0,0.0
variant_135,2914.0,303.0,104.0,148.0,56.0,22.0
variant_136,3495.0,487.0,178.0,293.0,329.0,214.0
variant_137,79.0,1.0,0.0,0.0,0.0,0.0
variant_138,356.0,75.0,39.0,37.0,22.0,0.0
variant_139,38.0,1.0,0.0,0.0,0.0,0.0
variant_140,44.0,0.0,0.0,0.0,0.0,0.0
variant_141,180.0,7.0,0.0,0.0,0.0,0.0
variant_142,434.0,32.0,0.0,2.0,0.0,0.0
variant_143,76.0,27.0,2.0,11.0,0.0,0.0
variant_144,19.0,2.0,0.0,0.0,0.0,0.0
variant_145,82.0,13.0,0.0,0.0,0.0,0.0
variant_146,71.0,4.0,0.0,0.0,0.0,0.0
variant_147,137.0,5.0,0.0,0.0,0.0,0.0
variant_148,45.0,2.0,0.0,0.0,0.0,0.0
variant_149,260.0,13.0,14.0,13.0,26.0,1.0
variant_150,433.0,107.0,78.0,142.0,128.0,75.0
variant_151,53.0,2.0,0.0,0.0,0.0,0.0
variant_152,22.0,4.0,0.0,0.0,0.0,0.0
variant_153,127.0,6.0,2.0,7.0,0.0,0.0
variant_154,84.0,0.0,0.0,0.0,0.0,0.0
variant_155,199.0,11.0,0.0,0.0,0.0,0.0
variant_156,309.0,29.0,5.0,10.0,8.0,0.0
variant_157,800.0,38.0,2.0,0.0,0.0,0.0
variant_158,1109.0,53.0,15.0,28.0,15.0,7.0
variant_159,150.0,7.0,2.0,13.0,2.0,3.0
variant_160,1261.0,145.0,95.0,188.0,227.0,141.0
variant_161,101.0,1.0,0.0,0.0,0.0,0.0
variant_162,434.0,64.0,28.0,15.0,9.0,7.0
variant_163,1481.0,111.0,50.0,68.0,41.0,4.0
variant_164,319.0,8.0,3.0,7.0,1.0,0.0
variant_165,29.0,0.0,0.0,0.0,0.0,0.0
variant_166,155.0,20.0,4.0,4.0,0.0,0.0
variant_167,216.0,20.0,2.0,5.0,0.0,0.0
variant_168,1861.0,176.0,55.0,72.0,56.0,33.0
variant_169,93.0,0.0,0.0,0.0,0.0,0.0
variant_170,81.0,3.0,0.0,0.0,0.0,0.0
variant_171,1562.0,105.0,23.0,9.0,4.0,2.0
variant_172,686.0,66.0,13.0,20.0,30.0,12.0
variant_173,10.0,0.0,0.0,0.0,0.0,0.0
variant_174,1.0,0.0,0.0,0.0,0.0,0.0
variant_175,74.0,2.0,0.0,0.0,0.0,0.0
variant_176,158.0,17.0,4.0,0.0,0.0,2.0
variant_177,1912.0,406.0,190.0,294.0,184.0,64.0
variant_178,220.0,13.0,0.0,0.0,0.0,0.0
variant_179,152.0,6.0,0.0,0.0,0.0,0.0
variant_180,39.0,0.0,0.0,0.0,0.0,0.0
variant_181,239.0,29.0,0.0,0.0,0.0,0.0
variant_182,111.0,1.0,0.0,0.0,0.0,0.0
variant_183,30.0,0.0,0.0,0.0,0.0,0.0
variant_184,1075.0,214.0,89.0,127.0,43.0,16.0
variant_185,2279.0,214.0,122.0,118.0,67.0,10.0
variant_186,3.0,0.0,0.0,0.0,0.0,0.0
variant_187,315.0,50.0,22.0,6.0,1.0,0.0
variant_188,1533.0,180.0,47.0,43.0,41.0,14.0
variant_189,1195.0,97.0,24.0,40.0,34.0,22.0
variant_190,380.0,36.0,5.0,6.0,5.0,0.0
variant_191,810.0,123.0,25.0,37.0,24.0,11.0
variant_192,112.0,2.0,0.0,0.0,0.0,0.0
variant_193,391.0,42.0,13.0,8.0,0.0,0.0
variant_194,73.0,2.0,0.0,0.0,0.0,0.0
variant_195,264.0,24.0,13.0,8.0,1.0,0.0
variant_196,186.0,21.0,27.0,53.0,58.0,68.0
variant_197,1132.0,272.0,141.0,174.0,223.0,106.0
variant_198,477.0,42.0,11.0,6.0,0.0,0.0
variant_199,1106.0,128.0,60.0,55.0,52.0,30.0
variant_200,1390.0,224.0,114.0,177.0,109.0,80.0
variant_201,443.0,18.0,8.0,6.0,0.0,0.0
variant_202,155.0,5.0,2.0,0.0,0.0,0.0
variant_203,1694.0,317.0,173.0,205.0,193.0,61.0
variant_204,23.0,1.0,1.0,2.0,0.0,0.0
variant_205,1042.0,65.0,27.0,29.0,39.0,19.0
variant_206,20.0,0.0,0.0,0.0,0.0,0.0
variant_207,313.0,60.0,27.0,44.0,38.0,23.0
variant_208,174.0,7.0,0.0,0.0,0.0,0.0
variant_209,280.0,44.0,15.0,70.0,70.0,36.0
variant_210,105.0,6.0,2.0,0.0,0.0,0.0
variant_211,338.0,33.0,7.0,6.0,1.0,0.0
variant_212,468.0,110.0,43.0,116.0,91.0,26.0
variant_213,127.0,14.0,9.0,18.0,0.0,0.0
variant_214,47.0,0.0,0.0,0.0,0.0,0.0
variant_215,136.0,16.0,1.0,1.0,0.0,0.0
variant_216,71.0,2.0,0.0,0.0,0.0,0.0
variant_217,202.0,12.0,1.0,0.0,0.0,0.0
variant_218,104.0,9.0,0.0,0.0,0.0,0.0
variant_219,1068.0,238.0,156.0,225.0,174.0,100.0
variant_220,1899.0,434.0,184.0,339.0,326.0,98.0
variant_221,39.0,2.0,0.0,0.0,0.0,0.0
variant_222,214.0,14.0,25.0,26.0,12.0,4.0
variant_223,2205.0,339.0,110.0,147.0,89.0,19.0
variant_224,153.0,0.0,0.0,0.0,0.0,0.0
variant_225,155.0,0.0,0.0,0.0,0.0,0.0
variant_226,87.0,1.0,0.0,0.0,0.0,0.0
variant_227,316.0,4.0,0.0,0.0,0.0,0.0
variant_228,104.0,0.0,0.0,0.0,0.0,0.0
variant_229,65.0,0.0,0.0,0.0,0.0,0.0
variant_230,111.0,2.0,0.0,0.0,0.0,0.0
variant_231,7311.0,1868.0,1481.0,3450.0,5651.0,3734.0
variant_232,143.0,1.0,0.0,0.0,0.0,0.0
variant_233,45.0,0.0,0.0,0.0,0.0,0.0
variant_234,305.0,52.0,7.0,17.0,23.0,3.0
variant_235,314.0,150.0,63.0,105.0,179.0,75.0
variant_236,47.0,3.0,0.0,0.0,0.0,0.0
variant_237,363.0,24.0,7.0,34.0,11.0,9.0
variant_238,102.0,13.0,8.0,44.0,22.0,3.0
variant_239,156.0,22.0,3.0,0.0,0.0,0.0
variant_240,136.0,8.0,6.0,0.0,2.0,0.0
variant_241,7.0,0.0,0.0,0.0,0.0,0.0
variant_242,25.0,0.0,0.0,0.0,0.0,0.0
variant_243,79.0,0.0,2.0,0.0,0.0,0.0
variant_244,439.0,93.0,42.0,48.0,23.0,5.0
variant_245,466.0,98.0,118.0,143.0,162.0,85.0
variant_246,606.0,220.0,146.0,289.0,400.0,190.0
variant_247,83.0,14.0,0.0,0.0,0.0,0.0
variant_248,582.0,190.0,71.0,233.0,235.0,114.0
variant_249,12.0,0.0,0.0,0.0,0.0,0.0
variant_250,152.0,1.0,0.0,0.0,0.0,0.0
variant_251,137.0,12.0,3.0,6.0,0.0,0.0
variant_252,719.0,100.0,79.0,104.0,132.0,52.0
variant_253,598.0,350.0,253.0,467.0,477.0,225.0
variant_254,53.0,1.0,0.0,2.0,0.0,0.0
variant_255,335.0,32.0,25.0,30.0,38.0,13.0
variant_256,121.0,96.0,60.0,232.0,369.0,149.0
variant_257,185.0,13.0,4.0,20.0,21.0,0.0
variant_258,82.0,13.0,5.0,1.0,5.0,0.0
variant_259,139.0,0.0,0.0,0.0,0.0,0.0
variant_260,292.0,40.0,12.0,12.0,8.0,2.0
variant_261,52.0,0.0,0.0,0.0,0.0,0.0
variant_262,465.0,94.0,45.0,107.0,93.0,34.0
variant_263,221.0,173.0,116.0,265.0,539.0,286.0
variant_264,118.0,9.0,2.0,5.0,6.0,1.0
variant_265,383.0,124.0,81.0,162.0,159.0,53.0
variant_266,206.0,34.0,3.0,0.0,0.0,0.0
variant_267,85.0,0.0,0.0,0.0,0.0,0.0
variant_268,645.0,128.0,74.0,142.0,121.0,50.0
variant_269,152.0,0.0,0.0,0.0,0.0,0.0
variant_270,201.0,9.0,2.0,0.0,0.0,0.0
variant_271,204.0,170.0,147.0,371.0,476.0,323.0
variant_272,87.0,2.0,0.0,0.0,0.0,0.0
variant_273,25.0,0.0,0.0,0.0,0.0,0.0
variant_274,348.0,196.0,97.0,251.0,276.0,92.0
variant_275,821.0,229.0,126.0,324.0,422.0,226.0
variant_276,109.0,1.0,1.0,0.0,0.0,0.0
variant_277,38.0,0.0,0.0,0.0,0.0,0.0
variant_278,468.0,149.0,94.0,172.0,226.0,128.0
variant_279,67.0,1.0,0.0,0.0,0.0,0.0
variant_280,194.0,2.0,0.0,0.0,0.0,0.0
variant_281,219.0,14.0,1.0,0.0,0.0,0.0
variant_282,275.0,41.0,20.0,14.0,23.0,9.0
variant_283,102.0,0.0,0.0,0.0,0.0,0.0
variant_284,155.0,23.0,29.0,76.0,89.0,46.0
variant_285,129.0,5.0,1.0,0.0,0.0,0.0
variant_286,156.0,11.0,0.0,0.0,0.0,0.0
variant_287,474.0,82.0,26.0,38.0,49.0,21.0
variant_288,46.0,6.0,2.0,0.0,0.0,0.0
variant_289,81.0,1.0,0.0,0.0,0.0,0.0
variant_290,91.0,37.0,15.0,27.0,24.0,15.0
variant_291,47.0,0.0,0.0,0.0,0.0,0.0
variant_292,92.0,2.0,0.0,0.0,0.0,0.0
variant_293,63.0,0.0,0.0,0.0,0.0,0.0
variant_294,126.0,10.0,0.0,0.0,0.0,0.0
variant_295,344.0,90.0,33.0,30.0,35.0,20.0
variant_296,29.0,5.0,1.0,1.0,2.0,0.0
variant_297,98.0,6.0,0.0,0.0,0.0,0.0
variant_298,20.0,0.0,0.0,0.0,0.0,0.0
variant_299,48.0,0.0,0.0,0.0,0.0,0.0
variant_300,2270.0,699.0,412.0,743.0,1087.0,542.0
variant_301,41.0,0.0,0.0,0.0,0.0,0.0
variant_302,2536.0,330.0,95.0,162.0,182.0,38.0
variant_303,3.0,0.0,0.0,0.0,0.0,0.0
variant_304,326.0,40.0,13.0,4.0,0.0,3.0
variant_305,786.0,233.0,140.0,138.0,127.0,35.0
variant_306,239.0,42.0,14.0,60.0,63.0,42.0
variant_307,59.0,3.0,0.0,0.0,0.0,0.0
variant_308,221.0,24.0,0.0,4.0,1.0,1.0
variant_309,118.0,6.0,2.0,5.0,0.0,0.0
variant_310,271.0,18.0,9.0,18.0,4.0,0.0
variant_311,95.0,22.0,16.0,18.0,22.0,5.0
variant_312,36.0,1.0,0.0,0.0,0.0,0.0
variant_313,64.0,0.0,0.0,0.0,0.0,0.0
variant_314,5.0,0.0,0.0,0.0,0.0,0.0
variant_315,80.0,0.0,0.0,0.0,0.0,0.0
variant_316,246.0,56.0,27.0,41.0,37.0,11.0
variant_317,77.0,7.0,0.0,0.0,0.0,0.0
variant_318,212.0,7.0,1.0,1.0,0.0,0.0
variant_319,2012.0,427.0,297.0,468.0,643.0,303.0
variant_320,1341.0,189.0,102.0,203.0,447.0,311.0
variant_321,419.0,62.0,36.0,37.0,37.0,10.0
variant_322,85.0,2.0,1.0,3.0,9.0,0.0
variant_323,1898.0,223.0,104.0,137.0,108.0,27.0
variant_324,25.0,0.0,0.0,0.0,0.0,0.0
variant_325,332.0,54.0,17.0,4.0,5.0,3.0
variant_326,2321.0,593.0,254.0,430.0,345.0,150.0
variant_327,428.0,34.0,15.0,6.0,6.0,0.0
variant_328,1197.0,197.0,76.0,191.0,158.0,68.0
variant_329,973.0,101.0,21.0,74.0,45.0,28.0
variant_330,100.0,1.0,0.0,0.0,0.0,0.0
variant_331,2709.0,1846.0,1875.0,6246.0,15942.0,13263.0
variant_332,2424.0,867.0,791.0,3179.0,7062.0,6090.0
variant_333,21.0,0.0,0.0,0.0,0.0,0.0
variant_334,80.0,4.0,0.0,0.0,0.0,0.0
variant_335,228.0,4.0,1.0,0.0,0.0,0.0
variant_336,90.0,3.0,1.0,0.0,0.0,0.0
variant_337,105.0,12.0,13.0,15.0,4.0,0.0
variant_338,2992.0,985.0,975.0,3637.0,7971.0,7026.0
variant_339,378.0,253.0,192.0,492.0,882.0,538.0
variant_340,705.0,207.0,89.0,285.0,694.0,454.0
variant_341,138.0,6.0,0.0,0.0,0.0,0.0
variant_342,413.0,231.0,168.0,559.0,1284.0,1045.0
variant_343,34.0,15.0,2.0,9.0,33.0,16.0
variant_344,8.0,0.0,0.0,0.0,0.0,0.0
variant_345,4169.0,684.0,369.0,792.0,920.0,446.0
variant_346,28.0,0.0,0.0,0.0,0.0,0.0
variant_347,17.0,0.0,0.0,0.0,0.0,0.0
variant_348,399.0,203.0,126.0,238.0,287.0,141.0
variant_349,413.0,61.0,29.0,38.0,77.0,39.0
variant_350,771.0,74.0,11.0,27.0,13.0,2.0
variant_351,169.0,22.0,3.0,0.0,0.0,0.0
variant_352,2344.0,350.0,131.0,209.0,219.0,87.0
variant_353,358.0,251.0,187.0,444.0,618.0,312.0
variant_354,302.0,116.0,60.0,53.0,88.0,48.0
variant_355,42.0,5.0,0.0,0.0,0.0,0.0
variant_356,1971.0,649.0,387.0,946.0,1250.0,814.0
variant_357,71.0,12.0,5.0,0.0,0.0,0.0
variant_358,171.0,38.0,27.0,56.0,25.0,2.0
variant_359,147.0,35.0,4.0,8.0,0.0,0.0
variant_360,1658.0,484.0,274.0,498.0,648.0,374.0
variant_361,25.0,1.0,0.0,0.0,0.0,0.0
variant_362,2420.0,540.0,392.0,983.0,1378.0,708.0
variant_363,658.0,147.0,75.0,179.0,187.0,83.0
variant_364,1477.0,315.0,119.0,218.0,225.0,110.0
variant_365,170.0,65.0,18.0,53.0,59.0,64.0
variant_366,257.0,46.0,17.0,46.0,82.0,69.0
variant_367,102.0,7.0,1.0,4.0,1.0,1.0
variant_368,397.0,13.0,2.0,0.0,0.0,0.0
variant_369,1140.0,134.0,70.0,121.0,127.0,20.0
variant_370,93.0,1.0,0.0,0.0,0.0,0.0
variant_371,89.0,4.0,3.0,11.0,8.0,9.0
variant_372,258.0,25.0,3.0,5.0,11.0,1.0
variant_373,69.0,2.0,0.0,0.0,0.0,0.0
variant_374,1001.0,229.0,132.0,269.0,330.0,318.0
variant_375,330.0,61.0,34.0,50.0,65.0,26.0
variant_376,75.0,6.0,0.0,1.0,0.0,0.0
variant_377,1704.0,174.0,70.0,75.0,76.0,75.0
variant_378,331.0,23.0,6.0,13.0,7.0,4.0
variant_379,785.0,302.0,233.0,411.0,512.0,178.0
variant_380,399.0,43.0,28.0,31.0,60.0,9.0
variant_381,1224.0,212.0,89.0,167.0,119.0,53.0
variant_382,1488.0,211.0,173.0,262.0,278.0,107.0
variant_383,19.0,0.0,0.0,0.0,0.0,0.0
variant_384,32.0,0.0,0.0,0.0,0.0,0.0
variant_385,42.0,0.0,0.0,0.0,0.0,0.0
variant_386,463.0,127.0,62.0,122.0,112.0,56.0
variant_387,157.0,25.0,3.0,0.0,0.0,0.0
variant_388,230.0,85.0,44.0,38.0,56.0,20.0
variant_389,1010.0,141.0,55.0,141.0,96.0,22.0
variant_390,762.0,202.0,136.0,439.0,749.0,652.0
variant_391,138.0,55.0,42.0,52.0,96.0,57.0
variant_392,320.0,68.0,15.0,28.0,18.0,3.0
variant_393,176.0,18.0,1.0,1.0,8.0,10.0
variant_394,602.0,147.0,69.0,147.0,216.0,98.0
variant_395,92.0,15.0,8.0,8.0,11.0,1.0
variant_396,40.0,7.0,1.0,2.0,0.0,0.0
variant_397,1949.0,994.0,794.0,2365.0,4939.0,2961.0
variant_398,147.0,3.0,0.0,0.0,0.0,0.0
variant_399,301.0,111.0,81.0,214.0,310.0,207.0
variant_400,28.0,0.0,0.0,0.0,0.0,0.0
variant_401,371.0,194.0,137.0,334.0,512.0,220.0
variant_402,288.0,25.0,4.0,1.0,0.0,0.0
variant_403,2812.0,300.0,128.0,206.0,156.0,72.0
variant_404,824.0,73.0,10.0,17.0,8.0,9.0
variant_405,124.0,0.0,0.0,0.0,0.0,0.0
variant_406,757.0,58.0,23.0,10.0,26.0,7.0
variant_407,342.0,68.0,21.0,20.0,14.0,14.0
variant_408,289.0,57.0,23.0,24.0,12.0,5.0
variant_409,942.0,73.0,6.0,17.0,7.0,2.0
variant_410,53.0,0.0,0.0,0.0,0.0,0.0
variant_411,43.0,1.0,0.0,0.0,0.0,0.0
variant_412,1212.0,220.0,83.0,190.0,237.0,108.0
variant_413,693.0,253.0,211.0,562.0,842.0,548.0
variant_414,169.0,52.0,20.0,26.0,6.0,1.0
variant_415,129.0,0.0,0.0,0.0,0.0,0.0
variant_416,1042.0,171.0,92.0,220.0,236.0,76.0
variant_417,430.0,151.0,91.0,127.0,145.0,87.0
variant_418,1552.0,551.0,283.0,606.0,914.0,478.0
variant_419,497.0,153.0,155.0,258.0,284.0,195.0
variant_420,37.0,1.0,0.0,0.0,0.0,0.0
variant_421,302.0,133.0,97.0,272.0,390.0,211.0
variant_422,41.0,1.0,0.0,0.0,0.0,0.0
variant_423,366.0,20.0,13.0,20.0,10.0,5.0
variant_424,178.0,5.0,1.0,3.0,0.0,0.0
variant_425,136.0,33.0,5.0,7.0,16.0,16.0
variant_426,632.0,87.0,48.0,52.0,35.0,10.0
variant_427,2559.0,330.0,167.0,281.0,140.0,46.0
variant_428,8.0,0.0,0.0,0.0,0.0,0.0
variant_429,1699.0,347.0,185.0,387.0,510.0,243.0
variant_430,245.0,7.0,0.0,0.0,0.0,0.0
variant_431,128.0,13.0,2.0,11.0,1.0,0.0
variant_432,3039.0,968.0,680.0,1383.0,1355.0,661.0
variant_433,480.0,91.0,38.0,67.0,78.0,16.0
variant_434,1693.0,184.0,122.0,192.0,180.0,67.0
variant_435,2367.0,254.0,82.0,167.0,126.0,75.0
variant_436,70.0,28.0,33.0,45.0,17.0,14.0
variant_437,2996.0,285.0,159.0,303.0,287.0,125.0
variant_438,230.0,48.0,43.0,78.0,104.0,31.0
variant_439,125.0,6.0,0.0,0.0,0.0,0.0
variant_440,337.0,124.0,56.0,66.0,28.0,20.0
variant_441,165.0,4.0,0.0,0.0,0.0,0.0
variant_442,122.0,42.0,31.0,93.0,89.0,68.0
variant_443,1870.0,319.0,187.0,486.0,431.0,269.0
variant_444,272.0,83.0,33.0,87.0,56.0,36.0
variant_445,350.0,113.0,60.0,85.0,64.0,25.0
variant_446,250.0,14.0,0.0,0.0,0.0,0.0
variant_447,2446.0,371.0,164.0,409.0,645.0,445.0
variant_448,2547.0,813.0,691.0,2176.0,5002.0,3987.0
variant_449,55.0,1.0,0.0,0.0,0.0,0.0
variant_450,394.0,235.0,192.0,576.0,904.0,650.0
variant_451,244.0,126.0,95.0,265.0,561.0,354.0
variant_452,102.0,26.0,6.0,6.0,14.0,6.0
variant_453,278.0,97.0,86.0,298.0,592.0,451.0
variant_454,340.0,36.0,9.0,23.0,33.0,30.0
variant_455,342.0,197.0,167.0,482.0,1025.0,745.0
variant_456,418.0,147.0,68.0,288.0,597.0,370.0
variant_457,139.0,4.0,3.0,0.0,0.0,0.0
variant_458,251.0,25.0,3.0,5.0,10.0,4.0
variant_459,1046.0,667.0,485.0,1421.0,2936.0,2128.0
variant_460,19.0,0.0,0.0,0.0,0.0,0.0
variant_461,124.0,5.0,4.0,1.0,0.0,0.0
variant_462,194.0,16.0,11.0,11.0,6.0,1.0
variant_463,725.0,218.0,150.0,479.0,1000.0,945.0
variant_464,297.0,135.0,76.0,121.0,258.0,107.0
variant_465,109.0,0.0,0.0,0.0,0.0,0.0
variant_466,530.0,34.0,11.0,4.0,13.0,5.0
variant_467,487.0,283.0,306.0,600.0,1353.0,617.0
variant_468,61.0,1.0,0.0,0.0,0.0,0.0
variant_469,297.0,26.0,3.0,3.0,12.0,2.0
variant_470,2118.0,162.0,43.0,31.0,18.0,0.0
variant_471,44.0,0.0,0.0,0.0,0.0,0.0
variant_472,123.0,5.0,2.0,2.0,0.0,0.0
variant_473,125.0,4.0,2.0,0.0,0.0,0.0
variant_474,146.0,7.0,1.0,0.0,0.0,0.0
variant_475,154.0,2.0,2.0,0.0,0.0,0.0
variant_476,985.0,57.0,7.0,14.0,15.0,2.0
