,T0PV,T1,T2,T3,T4,T5
variant_85,22901,4,165,21,7,4
variant_86,1063,0,0,2,0,1
variant_87,1867,0,5,0,0,0
variant_88,1816,0,0,3,0,0
variant_89,1849,0,0,1,0,0
variant_90,1086,0,0,0,1,0
variant_91,2498,1,0,2,2,0
variant_92,8987,0,7,8,2,2
variant_93,1507,0,1,3,0,0
variant_94,3039,1,0,4,2,0
variant_95,1081,1,1,0,0,0
variant_96,71881,14576,6630,3618,21,10
variant_97,26215,8747,3126,31,5,6
variant_98,12284,2728,918,17,3,0
variant_99,21940,6591,467,25,6,0
variant_100,964,4273,287,2,0,1
variant_101,1633,0,2,2,1,0
variant_102,1092,1,0,2,1,1
variant_103,1426,0,1,2,0,0
variant_104,1007,0,0,0,0,0
variant_105,10523,2,7,11,1,0
variant_106,2178,0,2,2,0,0
variant_107,1606,0,4,1,0,0
variant_108,1702,0,1,2,0,0
variant_109,1989,0,0,1,0,1
variant_110,1630,0,4,2,0,0
variant_111,1248,2,1,1,0,0
variant_112,16967,4,5,9,2,0
variant_113,1367,0,1,2,0,0
variant_114,1308,1,0,2,0,0
variant_115,1105,20,2,0,1,0
variant_116,1301,1,1,1,0,0
variant_117,1338,0,1,1,0,0
variant_118,4091,0,2,6,1,0
variant_119,4887,1,2,5,2,1
variant_120,10,73,67,2002,1,0
variant_121,2096,0,2,2,1,0
variant_122,1456,0,2,1,0,1
variant_123,1727,0,0,0,3,0
variant_124,3328,4879,1431,4,1,2
variant_125,2224,0,6,1,0,0
variant_126,1185,0,0,1,0,0
variant_127,213,2630,4,1,2,0
variant_128,2286,0,2,0,0,0
variant_129,2015,4,0,0,0,1
variant_130,1129,1,1,1,0,1
variant_131,1039,1,0,0,1,0
variant_132,1062,0,0,1,1,1
variant_133,2741,0,3,4,0,0
variant_134,1081,1,1,1,0,0
variant_135,1076,0,2,0,0,0
variant_136,332,9046,217,1,2,1
variant_137,1432,0,0,1,0,1
variant_138,6732,4272,5,4,3,0
variant_139,1459,0,0,2,0,0
variant_140,1670,1,0,2,0,0
variant_141,1566,1,0,0,0,0
variant_142,2299,0,1,3,0,0
variant_143,1765,0,2,0,1,1
variant_144,1956,0,2,2,1,0
variant_145,1149,1,6,0,0,0
variant_146,485,1503,3,3,0,0
variant_147,3359,1,3,1,0,0
variant_148,2632,0,3,2,2,1
variant_149,2326,1,0,0,1,2
variant_150,1981,1,17,0,0,1
variant_151,1783,0,1,1,1,0
variant_152,3051,0,0,5,1,0
variant_153,15877,2302,1531,16,5,2
variant_154,4289,1233,98,7,0,3
variant_155,1322,0,3,4,0,0
variant_156,1457,0,667,1,0,0
variant_157,1155,2,1,3,0,0
variant_158,1619,0,1,1,0,0
variant_159,3142,1,955,3,0,0
variant_160,4859,3,2,2,2,0
variant_161,3140,0,141,4,0,1
variant_162,7113,1,5,7,1,2
variant_163,2046,1,1,1,1,1
variant_164,47725,4894,380,54,7,4
variant_165,33173,21453,3769,9244,18,13
variant_166,12680,1,69,12,5,4
variant_167,11798,2,203,382,4,5
variant_168,1231,0,1,3,2,0
variant_169,16887,3,53,13,4,2
variant_170,55072,6047,914,52,22,12
variant_171,1388,1,0,1,2,1
variant_172,1780,0,1,2,2,0
variant_173,83011,13652,2612,222,19,12
variant_174,21902,716,427,1524,7,1
variant_175,1207,0,0,4,2,0
variant_176,5218,8357,2802,463,5,2
variant_177,19038,2628,568,22,5,3
variant_178,4433,0,10,5,4,0
variant_179,2555,0,111,2,0,0
variant_180,1856,1,1,4,0,0
variant_181,3345,2,2,4,2,1
variant_182,78,8891,3364,5,6,3
variant_183,2399,1,57,1,3,0
variant_184,3888,0,1,8,0,0
variant_185,2237,0,1,2,0,0
variant_186,1916,1,1,0,1,0
variant_187,10333,1606,11,13,1,2
variant_188,1035,0,1,2,0,0
variant_189,12513,4,9,13,3,4
variant_190,5032,0,142,7,3,0
variant_191,2886,1,1,4,3,0
variant_192,2,2,9,1774,61,34
variant_193,21922,6,13,14,7,3
variant_194,1660,0,0,4,0,0
variant_195,8349,0,2,11,1,0
variant_196,2927,637,2,3,2,0
variant_197,1954,1,0,1,2,0
variant_198,1292,1,2,0,1,1
variant_199,908,3169,5,3,1,0
variant_200,530,861,6,1,0,0
variant_201,1009,0,0,2,0,0
variant_202,1019,1,7,1,0,0
variant_203,46576,6255,2078,55,17,6
variant_204,9471,9821,1239,13,6,6
variant_205,6521,1,271,8,1,2
variant_206,1467,0,2,1,0,1
variant_207,4467,2,4,5,0,0
variant_208,2897,0,3,4,2,0
variant_209,1081,0,1,3,0,0
variant_210,3072,2,1,3,1,1
variant_211,2973,2485,29,5,3,1
variant_212,1616,0,1,0,0,0
variant_213,1493,1,2,1,0,0
variant_214,15673,6510,219,22,5,3
variant_215,10754,3,9,14,2,1
variant_216,25290,20118,1130,504,67,12
variant_217,6317,1,139,8,0,1
variant_218,1901,0,1,1,0,1
variant_219,1127,0,0,2,0,1
variant_220,5297,22632,19043,208336,239084,170937
variant_221,67,185,153,1541,2488,2152
variant_222,13,34,34,605,343,258
variant_223,990,3330,50,2,3,0
variant_224,14,61,53,561,657,405
variant_225,7,30,22,221,408,603
variant_226,359,11084,528,1,2,1
variant_227,7473,1,5,7,1,0
variant_228,1264,80,30,23,1,0
variant_229,1148,2,1,0,0,0
variant_230,2343,1,1,3,0,0
variant_231,1383,0,2,2,0,0
variant_232,186595,21630,4475,178,52,28
variant_233,424299,52434,25513,7705,790,67
variant_234,1539,182,94,25,8,1
variant_235,1194,138,63,25,2,1
variant_236,1832,6037,331,2,3,1
variant_237,5877,1,8,7,2,0
variant_238,2545,1,345,1,0,0
variant_239,2553,85,2,1,1,0
variant_240,1538,2398,300,1,2,0
variant_241,1025,69,28,14,2,0
variant_242,1162,1,0,1,0,2
variant_243,1297,0,1,2,0,0
variant_244,1123,1596,6,3,0,0
variant_245,4510,2,15,6,0,1
variant_246,2631,0,0,1,1,0
variant_247,10536,2960,728,15,211,0
variant_248,5219,1,1,8,5,0
variant_249,2419,1,3,2,1,0
variant_250,1326,1,0,0,0,0
variant_251,1278,0,11,2,0,0
variant_252,2206,0,1,0,0,0
variant_253,1552,0,1,2,1,0
variant_254,3979,2,1695,4,2,3
variant_255,3174,0,2,1,2,1
variant_256,3426,0,2,8,1,0
variant_257,1697,1,2,2,0,0
variant_258,900,107,9,4,2,1
variant_259,1128,0,1,0,0,0
variant_260,40202,26743,1556,42,16,4
variant_261,2642,10374,781,8,2,3
variant_262,12991,1144,5139,15284,5067,1873
variant_263,498,1325,29,1,0,0
variant_264,1319,0,1,0,0,1
variant_265,5943,3,0,5,2,0
variant_266,1793,0,1,1,0,0
variant_267,2011,0,2,3,0,0
variant_268,1108,0,0,0,0,0
variant_269,1483,0,1,3,0,0
variant_270,24525,8,18,24,8,2
variant_271,2188,0,1,6,0,1
variant_272,54793,11974,8819,1584,19,5
variant_273,26050,4,188,20,4,3
variant_274,19243,1125,140,11,7,3
variant_275,1755,0,2,3,0,0
variant_276,2879,0,286,6,3,1
variant_277,2887,0,1,6,0,0
variant_278,2053,0,4,3,0,1
variant_279,226698,36019,3517,216,74,25
variant_280,2552,0,1,1,0,0
variant_281,1843,0,0,0,1,0
variant_282,3219,0,1,3,0,1
variant_283,3982,2,2,5,1,2
variant_284,1657,1,1,1,1,0
variant_285,1474,1,2,3,0,0
variant_286,1139,0,0,2,0,0
variant_287,1107,136,10,3,0,0
variant_288,593,9819,47,3281,7,3
variant_289,7300,3308,29,9,1,0
variant_290,9947,2,9,14,0,3
variant_291,1978,0,1,0,2,0
variant_292,3112,0,3,3,1,0
variant_293,1713,0,0,2,1,0
variant_294,1009,0,0,0,0,1
variant_295,14031,3,9,8,4,1
variant_296,1626,2,1,1,0,0
variant_297,1782,3533,17,6,2,0
variant_298,189,2502,3,1,1,0
variant_299,2475,0,1,3,0,0
variant_300,13468,2,10,13,8,0
variant_301,77717,3446,853,83,26,12
variant_302,9864,2798,235,8,1,2
variant_303,1727,0,2,2,0,0
variant_304,25670,2720,167,28,9,1
variant_305,3128,4985,240,6,1,0
variant_306,10293,2,95,10,0,2
variant_307,5747,0,0,4,0,1
variant_308,1115,0,2,0,0,0
variant_309,16881,3118,1047,19,7,2
variant_310,13129,2,12,23,5,0
variant_311,1014,6392,131,7,0,3
variant_312,1643,0,0,0,1,0
variant_313,1474,0,1,3,0,0
variant_314,9784,5628,2487,14,6,4
variant_315,61,7318,40,0,2,1
variant_316,13052,5796,704,16,4,2
variant_317,11816,3,12,9,3,1
variant_318,3113,5004,970,6,3,0
variant_319,2994,863,37,6,1,0
variant_320,4609,3,3,6,1,0
variant_321,1537,0,2,1,0,0
variant_322,10924,788,161,9,6,2
variant_323,1005,0,0,0,0,0
variant_324,12356,13320,1092,21,5,1
variant_325,1092,3734,2,3,1,0
variant_326,26121,3,15,17,9,6
variant_327,51677,705,597,45,15,12
variant_328,6078,1,53,2,4,1
variant_329,3949,3891,1184,6,6,1
variant_330,6529,1,5,7,0,1
variant_331,4394,1824,1894,370,6,1
variant_332,2165,1,0,5,0,0
variant_333,1245,0,3,1,0,0
variant_334,1129,0,0,1,0,0
variant_335,19502,2715,334,15,7,0
variant_336,5911,4305,4,3,0,1
variant_337,3423,0,3,2,2,2
variant_338,1397,1,2,2,0,0
variant_339,1240,0,0,1,0,0
variant_340,1017,0,13,3,0,0
variant_341,10031,0,165,12,3,1
variant_342,7230,3119,821,6,3,2
variant_343,7119,0,4,8,2,1
variant_344,5086,3234,126,10,2,0
variant_345,3263,4688,252,2,1,0
variant_346,3198,4,5,0,0,0
variant_347,3389,0,1,3,2,2
variant_348,1369,0,1,2,0,0
variant_349,14692,7803,610,23,3,3
variant_350,2523,1990,17,3,3,0
variant_351,6587,0,8,8,5,0
variant_352,13237,1776,24,11,3,1
variant_353,469,7,3007,1803,2,2
variant_354,6454,0,47,4,2,2
variant_355,4104,1,171,4,3,0
variant_356,7539,1,2,9,2,1
variant_357,2914,2,1,4,3,0
variant_358,1783,0,208,4,0,1
variant_359,4350,0,3,0,0,0
variant_360,1129,1,1,2,0,0
variant_361,810,2314,132,1,1,0
variant_362,1165,0,2,3,1,0
variant_363,1532,1,1,2,0,0
variant_364,23445,8482,378,30,8,6
variant_365,2835,2,1,6,0,0
variant_366,1340,0,1,2,1,0
variant_367,1546,1,1,3,0,0
variant_368,1483,0,0,3,0,0
variant_369,13547,2,75,18,4,3
variant_370,22054,1041,48,21,1,3
variant_371,15062,687,47,16,7,0
variant_372,3972,0,59,1,3,0
variant_373,4971,2,2,3,0,0
variant_374,1664,1,1018,246,3,0
variant_375,35404,11373,11847,6159,249,900
variant_376,19439,20135,6416,1455,11,5
variant_377,3875,3985,249,4,1,0
variant_378,3598,4,226,4,2,0
variant_379,2781,0,0,5,2,0
variant_380,1666,0,3,0,0,0
variant_381,3056,1,1,4,1,1
variant_382,1416,0,0,4,0,1
variant_383,872,52,25,37,44,25
variant_384,1614,1,31,3,1,0
variant_385,3412,380,137,134,15,9
variant_386,33463,11564,3240,46,15,9
variant_387,7915,8080,608,8,5,2
variant_388,9939,4795,2420,16,5,2
variant_389,6617,1,211,8,3,0
variant_390,4769,0,1,5,0,0
variant_391,996,140,0,1,0,0
variant_392,1092,0,0,3,0,0
variant_393,28655,8441,1567,28,5,4
variant_394,721,241,41,4,0,0
variant_395,1278,1,2,0,0,0
variant_396,18162,2305,864,18,7,2
variant_397,2762,1,3,2,0,1
variant_398,2217,148,10,5,1,0
variant_399,2141,807,4,3,0,0
variant_400,2050,851,1,1,0,0
variant_401,2933,0,0,2,1,0
variant_402,3522,0,227,4,3,0
variant_403,1033,391,29,1,0,0
variant_404,2496,1,4,4,0,0
variant_405,1269,0,83,0,1,0
variant_406,1031,0,1,1,1,0
variant_407,1623,1,1,2,1,0
variant_408,1406,0,1,3,1,0
variant_409,1071,0,134,0,0,0
variant_410,46334,10806,1700,47,8,9
variant_411,2114,1,169,3,1,0
variant_412,1829,0,1,2,1,1
variant_413,8160,4200,707,9,0,3
variant_414,7764,6433,1008,12,2,2
variant_415,1344,0,0,0,0,0
variant_416,1531,0,0,3,1,0
variant_417,1362,1,0,1,0,1
variant_418,3178,0,74,5,2,0
variant_419,373,56,281,369,28,8
variant_420,2682,0,3,1,0,0
variant_421,1257,0,0,3,0,0
variant_422,1345,0,0,4,0,0
variant_423,120,167,245,1715,7470,9220
variant_424,1906,4365,256,4,3,0
variant_425,3633,1,2,4,0,0
variant_426,1150,0,2,1,0,0
variant_427,1428,1,1,1,0,0
variant_428,3807,2,159,1,0,0
variant_429,1351,0,2,2,1,0
variant_430,26985,7198,1291,20,11,2
variant_431,1913,1,3,2,1,0
variant_432,62956,2864,965,501,26,7
variant_433,11704,4103,2115,888,1,2
variant_434,6764,0,5,6,4,0
variant_435,2400,0,259,3,2,1
variant_436,1297,1,1,0,0,0
variant_437,67757,2109,790,446,26,15
variant_438,6906,1234,258,8,1,3
variant_439,3769,2,1,7,2,1
variant_440,4745,1,56,3,0,0
variant_441,3096,0,1,6,1,0
variant_442,2760,1,49,0,0,0
variant_443,1360,1,1,1,0,0
variant_444,4074,0,2,2,2,1
variant_445,11176,3285,497,8,4,1
variant_446,1318,0,0,2,0,0
variant_447,3444,2,1,4,3,0
variant_448,1389,0,0,2,0,0
variant_449,12415,1,11,17,1,2
variant_450,8022,6,2380,15,2,2
variant_451,3005,0,5,2,0,0
variant_452,1961,0,1,2,0,0
variant_453,1201,1,0,0,2,1
variant_454,3838,0,1,4,0,0
variant_455,2584,1,2,4,0,1
variant_456,1354,1,2,3,0,2
variant_457,6982,3,4,8,3,2
variant_458,2812,2,2,2,1,0
variant_459,2086,0,46,1,0,0
variant_460,65788,2555,1269,68,16,8
variant_461,9368,2151,4,9,3,1
variant_462,39000,4560,1313,37,10,1
variant_463,39795,2084,2684,33,9,1
variant_464,5766,2311,5,3,2,2
variant_465,4958,3,3,4,1,0
variant_466,2200,0,1,4,1,1
variant_467,1128,0,1,0,0,0
variant_468,1587,0,1,3,0,1
variant_469,269819,42405,20414,4706,95,41
variant_470,23210,7074,658,22,9,1
variant_471,16598,4265,33,19,3,4
variant_472,1829,317,147,29,4,3
variant_473,1307,0,24,3404,4,2
variant_474,2286,0,0,2,0,0
variant_475,1360,0,0,0,0,0
variant_476,19424,4,48,20,5,3
variant_477,3600,2,5,3,3,0
variant_478,49,1317,349,3,0,0
variant_479,109800,45350,4849,679,32,19
variant_480,7454,3,414,23,3032,3447
variant_481,2527,1,3,0,1,0
variant_482,698,285,24,0,0,0
variant_483,1151,0,1,1,0,0
variant_484,11481,10087,478,11,7,5
variant_485,2666,0,4,4,0,0
variant_486,1841,1,0,9,0,0
variant_487,4845,0,4,2,0,0
variant_488,7391,538,22,2,5,3
variant_489,2469,0,1,1,1,0
variant_490,3659,2,25,1,1,0
variant_491,3412,1,8,4,0,0
variant_492,2241,0,2,2,1,1
variant_493,1233,0,1,1,2,0
variant_494,65069,2007,54,57,23,13
variant_495,1085,0,0,0,3,0
variant_496,3098,2,2,3,1,2
variant_497,1872,0,2,2,0,1
variant_498,1727,1,1,1,0,0
variant_499,1280,1,2,4,0,0
variant_500,1200,1,0,1,0,0
variant_501,4206,1501,4,7,1,0
variant_502,2189,1234,3,2,0,1
variant_503,5874,2,4,7,0,2
variant_504,1498,0,0,1,1,0
variant_505,1033,0,1,0,0,0
variant_506,3226,0,0,1,1,0
variant_507,2507,1,3,2,2,1
variant_508,4547,1653,2,3,1,0
variant_509,2080,0,2,1,1,1
variant_510,35,1011,54,0,0,0
variant_511,7501,5746,5247,25401,2103,1220
variant_512,1597,0,1,1,0,0
variant_513,2646,0,2,1,1,0
variant_514,1075,0,0,0,0,1
variant_515,1984,0,0,2,0,0
variant_516,4374,0,4,3,1,1
variant_517,7025,0,127,7,1,0
variant_518,4049,1,1,2,3,0
variant_519,2569,1,0,3,1,0
variant_520,1550,0,18,1,1,0
variant_521,1459,1,1,1,0,0
variant_522,3466,0,3,2,1,0
variant_523,3935,1548,220,3,2,1
variant_524,99048,16556,13419,1930,40,15
variant_525,263528,19078,33987,21880,3810,727
variant_526,1006,33,82,93,9,1
variant_527,1386,1,1,3,0,0
variant_528,17111,3,8,12,2,1
variant_529,2467,0,2,1,1,0
variant_530,1782,0,3,1,0,0
variant_531,10883,3,7,9,3,1
variant_532,1030,0,0,3,0,0
variant_533,791,805,3,1,1,0
variant_534,1593,0,1,3,0,0
variant_535,16907,3436,1819,18,6,2
variant_536,5245,0,2,7,0,0
variant_537,778,116,193,133,7,6
variant_538,1177,0,4,1,0,0
variant_539,1019,0,1,0,0,0
variant_540,10468,2,9,12,3,1
variant_541,1969,0,0,2,0,0
variant_542,6458,4,3,6,0,1
variant_543,7005,1,145,5,2,0
variant_544,3560,0,4,1,0,3
variant_545,1142,0,0,1,0,0
variant_546,7183,0,22,16,1,0
variant_547,1473,1,0,1,0,0
variant_548,1407,0,4,2,0,1
variant_549,1100,0,2,1,0,0
variant_550,21304,4,311,26,10,1
variant_551,11643,3,398,9,6,5
variant_552,2275,2,1,1,0,0
variant_553,4084,0,49,6,0,1
variant_554,3008,1,2,5,0,0
variant_555,1345,0,4,1,0,0
variant_556,4625,2117,115,6,2,0
variant_557,4479,1,5,9,2,0
variant_558,2392,0,2,7,0,0
variant_559,1044,0,0,0,0,0
variant_560,691,1622,171,2,3,1
variant_561,4217,3,17,5,1,0
variant_562,3261,2,3,4,3,0
variant_563,2839,1994,591,2,2,1
variant_564,4871,0,1,3,0,1
variant_565,1181,0,2,2,0,0
variant_566,4694,4,599,2,1,0
variant_567,1330,1,220,2,1,0
variant_568,4421,0,7,3,0,0
variant_569,3876,0,4,1,1,0
variant_570,2228,1,205,5,1,0
variant_571,88,3632,0,1,0,0
variant_572,2839,1,1,1,0,0
variant_573,1451,0,0,0,1,0
variant_574,1107,1,1,1,0,0
variant_575,1070,1,0,1,1,0
variant_576,1095,0,0,0,0,0
variant_577,13775,1519,174,22,8,1
variant_578,6124,2,3,5,1,0
variant_579,5724,1,3,6,1,2
variant_580,2914,0,3,3,3,2
variant_581,2467,0,109,1,1,0
variant_582,7122,1,3,2,0,2
variant_583,1669,4698,8,1,3,0
variant_584,2105,1,1,1,1,0
variant_585,998,1,1,1,1,0
variant_586,1291,0,0,0,0,0
variant_587,14314,779,423,10,4,2
variant_588,12600,1,3,12,6,1
variant_589,1723,2,465,5,0,0
variant_590,2503,1,3,1,0,0
variant_591,1269,0,0,1,0,0
variant_592,16816,2,306,8,4,3
variant_593,3222,0,7,2,0,0
variant_594,97630,20589,7001,4286,42,18
variant_595,3905,0,0,3,1,1
variant_596,42598,25355,5336,53,19,14
variant_597,6043,1,7,3,0,0
variant_598,8294,4,52,7,0,1
variant_599,4598,807,673,272,40,7
variant_600,32662,10290,1970,26,7,7
variant_601,88816,11923,3742,129,28,13
variant_602,10173,2,10,8,5,0
variant_603,5050,123,1,5,3,0
variant_604,7151,3,6,10,1,1
variant_605,14,4104,43,0,0,0
variant_606,3461,1,10,2,0,0
variant_607,1379,0,97,4,0,0
variant_608,1236,0,0,2,0,0
variant_609,16850,5494,41,19,10,1
variant_610,4303,1,2,3,1,0
variant_611,2043,0,1,3,1,0
variant_612,1321,705,0,0,1,0
variant_613,3232,0,0,2,0,0
variant_614,1132,1,2,0,0,0
variant_615,70704,1256,405,72,12,16
variant_616,9294,7,126,5,4,2
variant_617,6914,4,8,8,0,2
variant_618,1794,0,0,2,0,0
variant_619,4049,2332,8,4,1,0
variant_620,2423,0,1,0,0,0
variant_621,12969,3,36,12,3,1
variant_622,3428,0,72,3,2,1
variant_623,3665,0,2,2,3,0
variant_624,2211,1,0,2,0,0
variant_625,4585,0,2,6,0,0
variant_626,2687,1946,7,10,1,0
variant_627,1135,0,1,0,0,0
variant_628,2388,0,8,4,2,0
variant_629,2098,0,2,1,0,1
variant_630,1262,0,1,1,0,1
variant_631,46049,14565,8575,460,19,9
variant_632,18087,8,13,11,5,5
variant_633,9283,1,9,5,6,3
variant_634,15175,3,73,18,2,2
variant_635,6939,0,14,7,1,1
variant_636,5536,2,173,8,1,0
variant_637,22814,8,29,17,3,3
variant_638,12741,1692,41,11,1,1
variant_639,7638,5473,807,782,4,2
variant_640,670,4529,172,1,2,3
variant_641,2738,1,0,5,1,1
variant_642,21034,1867,593,15,5,3
variant_643,25415,7,107,650,263,1
variant_644,9035,4241,622,12,2,3
variant_645,2788,0,12,3,1,0
variant_646,99,2178,37,0,1,0
variant_647,1235,2,0,3,0,1
variant_648,4040,19323,4082,3529,110,105
variant_649,2480,6290,14,2,3,1
variant_650,1445,0,1,3,0,0
variant_651,693,1854,3,0,0,0
variant_652,2948,27862,4740,5803,9006,2513
variant_653,18626,3,84,19,3,1
variant_654,6422,0,82,5,3,0
variant_655,2014,0,0,4,1,0
variant_656,2054,0,0,1,4,0
variant_657,3628,3,4,5,0,0
variant_658,72605,18197,6783,2654,157,15
variant_659,40419,2355,1324,39,13,4
variant_660,32427,1878,42,36,7,2
variant_661,15362,2,8,9,2,1
variant_662,5954,1861,9,6,4,3
variant_663,3651,3,5,1,0,0
variant_664,10156,907,33,10,3,0
variant_665,2854,0,2,2,0,0
variant_666,3253,2,49,0,1,0
variant_667,3748,0,2,1,0,3
variant_668,1666,1127,54,4,1,0
variant_669,2220,0,0,4,1,1
variant_670,1191,0,1,0,1,0
variant_671,1870,0,88,1,0,2
variant_672,2788,2,1,7,0,2
variant_673,9639,2,171,7,2,0
variant_674,3635,4,10,1,0,0
variant_675,1268,0,0,3,0,0
variant_676,676,2339,434,2,2,0
variant_677,40122,15713,3773,49,13,4
variant_678,9038,2,10,6,1,1
variant_679,4262,3,6,4,0,0
variant_680,2164,2880,145,5,1,0
variant_681,3935,0,1,3,1,0
variant_682,5039,2,1,3,0,0
variant_683,3677,1,3,2,1,0
variant_684,2207,0,0,3,0,0
variant_685,3163,1,101,7,1,0
variant_686,1091,0,0,0,0,1
variant_687,2150,0,1,2,0,0
variant_688,1275,0,0,0,2,0
variant_689,1460,1,1,1,0,0
variant_690,18294,9202,1765,26,5,3
variant_691,5359,0,3,2,2,0
variant_692,2933,2856,143,5,0,0
variant_693,1526,1,0,2,2,0
variant_694,1406,1,1,0,0,0
variant_695,1718,0,0,2,1,0
variant_696,1705,3416,37,3,0,1
variant_697,2487,2,387,0,1,0
variant_698,1074,182,1,0,0,0
variant_699,9355,481,191,7,1,0
variant_700,3506,0,21,2,0,0
variant_701,1335,0,0,1,0,0
variant_702,4447,1,1,5,1,0
variant_703,1389,0,0,3,1,0
variant_704,1222,0,0,1,0,0
variant_705,20588,1422,14,23,9,1
variant_706,3869,0,3,2,2,0
variant_707,5775,0,5,3,1,0
variant_708,2522,347,2,2,2,0
variant_709,482,2260,4,1,0,0
variant_710,2506,1,0,4,1,0
variant_711,1265,0,3,3,0,0
variant_712,5951,1,3,5,1,1
variant_713,1009,0,1,0,0,0
variant_714,6138,3,1,2,0,2
variant_715,2884,0,1,3,0,1
variant_716,1177,0,0,0,1,0
variant_717,1503,1,1,1,0,0
variant_718,1102,0,0,3,0,0
variant_719,1073,0,1,1,0,0
variant_720,20356,7954,343,24,7,4
variant_721,1797,0,1,2,1,0
variant_722,2634,0,36,2,1,0
variant_723,1387,1,1,1,1,0
variant_724,1194,0,0,1,0,2
variant_725,39569,4218,595,40,14,9
variant_726,5207,2,448,2,0,1
variant_727,3686,1,6,4,0,0
variant_728,2273,3726,286,4,2,0
variant_729,250,4526,377,2,0,1
variant_730,1001,0,1,1,1,1
variant_731,10217,4,177,10,4,2
variant_732,4328,1,4,7,0,0
variant_733,1350,1,126,2,0,0
variant_734,24609,7226,479,32,8,2
variant_735,8050,1035,20,8,3,0
variant_736,11243,7,110,11,2,1
variant_737,3645,2780,2,2,1,1
variant_738,4412,4181,1218,8,1,1
variant_739,4372,0,3,3,2,1
variant_740,1137,0,1,0,0,0
variant_741,3300,1,4,1,2,0
variant_742,285,1569,1,0,0,1
variant_743,1698,1,0,3,0,0
variant_744,5248,0,5,5,3,2
variant_745,3511,0,8,39,0,0
variant_746,2628,1,5,1,0,1
variant_747,10871,2,7,11,1,1
variant_748,1425,0,2,1,1,0
variant_749,1284,0,2,1,0,0
variant_750,18190,7,598,2393,8,2
variant_751,4473,2,5,3,0,1
variant_752,2520,1,0,3,1,0
variant_753,1110,0,0,0,0,0
variant_754,14669,2247,830,13,7,0
variant_755,16610,4,9,14,4,3
variant_756,4383,0,80,5,5,1
variant_757,26869,1305,79,27,8,5
variant_758,4316,0,2,5,0,2
variant_759,3807,0,4,4,0,0
variant_760,5291,1,5,5,3,1
variant_761,1530,0,2,1,1,0
