,G0,D1.25,D2.25,D3.25,D4.25
variant_101,419,383,246,260,222
variant_102,84,155,121,206,239
variant_103,78,50,11,11,1
variant_104,988,963,461,505,362
variant_105,79,155,279,449,670
variant_106,216,50,4,1,1
variant_107,519,211,140,115,75
variant_108,314,449,384,611,873
variant_109,557,124,13,4,10
variant_110,268,48,61,46,48
variant_111,11,0,0,0,0
variant_112,197,20,0,0,0
variant_113,515,474,155,135,95
variant_114,298,34,12,3,2
variant_115,537,1051,1214,1786,2635
variant_116,499,432,170,91,71
variant_117,859,251,90,73,39
variant_118,27,0,0,0,0
variant_119,406,43,1,1,1
variant_120,1080,861,572,840,915
variant_121,464,789,964,1320,1266
variant_122,42,5,0,1,0
variant_123,293,348,356,483,750
variant_124,118,163,160,206,342
variant_125,116,218,352,430,539
variant_126,14,0,0,0,0
variant_127,832,1631,1434,1813,2443
variant_128,917,649,464,547,422
variant_129,764,217,50,43,23
variant_130,210,25,18,6,2
variant_131,610,978,767,1022,1262
variant_132,397,40,2,0,0
variant_133,476,857,731,939,1479
variant_134,1723,3033,2794,3433,4242
variant_135,109,10,3,1,2
variant_136,76,69,59,77,100
variant_137,110,16,0,0,0
variant_138,213,17,1,2,1
variant_139,28,0,0,0,0
variant_140,490,139,37,22,9
variant_141,509,123,18,21,15
variant_142,160,398,498,724,995
variant_143,288,904,776,1001,1520
variant_144,10,2,2,2,2
variant_145,468,63,18,22,7
variant_146,15,0,0,1,0
variant_147,17,1,0,0,0
variant_148,66,167,181,232,388
variant_149,32,9,6,9,3
variant_150,44,9,9,0,17
variant_151,50,81,79,101,160
variant_152,215,267,149,140,186
variant_153,327,29,0,0,0
variant_154,521,27,4,5,6
variant_155,151,51,79,110,132
variant_156,56,25,2,2,1
variant_157,24,0,0,0,0
variant_158,287,9,2,1,0
variant_159,222,268,196,395,450
variant_160,36,3,0,0,0
variant_161,560,791,558,1099,1386
variant_162,766,1344,1336,1563,1742
variant_163,527,165,51,34,33
variant_164,60,9,14,26,18
variant_165,73,34,1,1,3
variant_166,220,107,14,23,16
variant_167,582,120,54,53,22
variant_168,20,0,0,0,0
variant_169,835,101,52,55,18
variant_170,5,5,1,0,0
variant_171,118,149,183,277,298
variant_172,126,15,2,1,2
variant_173,62,36,20,13,8
variant_174,507,197,182,239,242
variant_175,146,313,277,429,585
variant_176,204,644,434,490,1209
variant_177,816,1219,1555,2484,2656
variant_178,27,0,0,0,0
variant_179,5639,3360,857,531,224
variant_180,88,1,1,6,0
variant_181,131,38,18,18,15
variant_182,98,0,2,1,4
variant_183,269,371,261,314,374
variant_184,178,64,15,18,16
variant_185,225,21,2,3,1
variant_186,122,53,29,27,8
variant_187,11,0,1,0,0
variant_188,587,86,4,1,0
variant_189,842,158,82,56,52
variant_190,37,3,1,1,0
variant_191,378,42,1,1,0
variant_192,24,4,0,0,0
variant_193,151,36,74,98,108
variant_194,50,2,3,0,1
variant_195,48,0,0,0,0
variant_196,338,396,275,335,282
variant_197,51,0,0,1,0
variant_198,1771,2796,2490,3729,5425
variant_199,80,0,0,0,0
variant_200,40,2,3,7,1
variant_201,12,3,2,1,11
variant_202,134,3,0,3,1
variant_203,36,0,0,0,0
variant_204,1703,2859,3853,5312,7817
variant_205,231,274,178,166,184
variant_206,406,40,2,4,1
variant_207,213,192,132,236,224
variant_208,322,360,262,309,323
variant_209,1550,530,154,110,71
variant_210,25,0,0,0,0
variant_211,610,104,26,27,15
variant_212,268,678,743,1112,1544
variant_213,15,0,0,0,0
variant_214,252,76,5,1,1
variant_215,107,123,107,133,165
variant_216,72,36,18,12,7
variant_217,77,36,2,4,3
variant_218,17,0,0,0,0
variant_219,29,2,1,1,1
variant_220,53,11,0,0,0
variant_221,546,941,796,1070,1471
variant_222,158,203,221,246,346
variant_223,169,101,42,32,22
variant_224,89,12,0,0,0
variant_225,23,1,1,1,1
variant_226,156,97,62,101,98
variant_227,425,240,102,77,49
variant_228,1003,774,795,1312,1889
variant_229,24,0,0,0,0
variant_230,249,29,3,4,1
variant_231,25,0,0,0,0
variant_232,409,624,503,837,1156
variant_233,315,80,44,22,15
variant_234,345,376,294,327,533
variant_235,75,24,18,33,15
variant_236,56,0,0,0,0
variant_237,1170,1417,1513,2189,2797
variant_238,460,344,251,184,155
variant_239,287,134,145,167,220
variant_240,32,0,0,0,0
variant_241,122,180,252,261,366
variant_242,153,17,2,10,10
variant_243,312,305,153,158,94
variant_244,224,176,219,201,288
variant_245,234,674,630,781,1045
variant_246,6189,4829,1458,1175,508
variant_247,46,0,2,0,0
variant_248,41,70,36,27,31
variant_249,691,115,37,4,2
variant_250,1234,751,521,660,717
variant_251,639,192,31,36,18
variant_252,18,0,0,0,1
variant_253,619,751,687,907,1075
variant_254,458,412,325,473,497
variant_255,299,297,280,280,389
variant_256,455,1621,1770,2496,3078
variant_257,592,100,6,6,6
variant_258,1276,164,41,25,8
variant_259,676,1052,1060,1403,1791
variant_260,777,985,688,893,1066
variant_261,24,0,0,1,0
variant_262,27,3,0,0,1
variant_263,38,0,0,0,0
variant_264,462,977,843,1087,1210
variant_265,308,44,16,26,13
variant_266,168,28,18,2,21
variant_267,567,417,409,593,909
variant_268,68,1,0,0,0
variant_269,6,0,0,0,0
variant_270,150,120,118,212,227
variant_271,834,1753,1829,2730,4442
variant_272,26,0,0,0,1
variant_273,357,410,286,321,414
variant_274,182,799,713,1004,1435
variant_275,58,2,0,1,0
variant_276,286,41,28,58,26
variant_277,383,45,5,6,8
variant_278,45,0,0,0,0
variant_279,99,7,6,1,0
variant_280,84,172,85,48,207
variant_281,611,999,782,931,1386
variant_282,84,2,0,0,0
variant_283,91,138,104,47,175
variant_284,421,547,439,478,669
variant_285,15,0,0,0,0
variant_286,217,202,148,168,165
variant_287,1082,301,126,39,21
variant_288,8,0,0,0,0
variant_289,15,0,0,1,0
variant_290,62,7,2,0,0
variant_291,2217,812,691,843,1263
variant_292,222,190,227,259,382
variant_293,761,1086,1410,1946,2496
variant_294,132,27,6,6,0
variant_295,276,27,4,3,1
variant_296,534,167,50,34,35
variant_297,362,483,463,528,668
variant_298,33,63,59,83,192
variant_299,24,0,0,0,0
variant_300,130,201,89,35,219
variant_301,30,2,2,1,6
variant_302,204,290,161,249,338
variant_303,319,588,624,1013,1280
variant_304,13,1,0,0,0
variant_305,98,8,4,0,0
variant_306,1083,250,33,8,4
variant_307,918,1930,2273,2750,4321
variant_308,855,758,347,301,196
variant_309,57,0,0,1,0
variant_310,153,69,15,14,14
variant_311,282,422,230,191,105
variant_312,139,36,8,3,3
variant_313,27,0,0,0,0
variant_314,156,0,0,1,0
variant_315,270,84,98,125,179
variant_316,66,0,0,0,0
variant_317,97,159,185,175,259
variant_318,726,1261,996,1639,1596
variant_319,468,441,584,733,1120
variant_320,242,360,140,177,106
variant_321,277,437,421,432,671
variant_322,525,602,591,948,1105
variant_323,113,40,16,9,7
variant_324,125,87,92,121,123
variant_325,96,16,10,7,7
variant_326,276,321,287,218,221
variant_327,274,3,1,4,2
variant_328,126,115,94,69,99
variant_329,374,121,53,72,50
variant_330,65,113,103,93,81
variant_331,301,275,300,545,695
variant_332,994,1579,1213,1722,2533
variant_333,1395,1309,1513,2133,2740
variant_334,106,124,85,110,170
variant_335,89,1,2,0,0
variant_336,1357,370,43,27,9
variant_337,181,233,202,233,349
variant_338,320,124,86,132,161
variant_339,72,9,15,15,27
variant_340,951,188,72,53,39
variant_341,201,207,235,289,394
variant_342,318,275,261,279,311
variant_343,17,0,0,0,0
variant_344,2442,484,95,63,31
variant_345,44,0,1,1,2
variant_346,95,31,9,0,5
variant_347,39,2,0,1,0
variant_348,500,931,696,1129,1306
variant_349,20,11,8,2,0
variant_350,82,26,24,30,15
variant_351,35,23,31,41,67
variant_352,242,171,69,50,47
variant_353,1435,726,266,140,149
variant_354,1255,2593,3444,4978,7006
variant_355,75,0,0,0,1
variant_356,33,0,0,3,0
variant_357,63,48,30,65,46
variant_358,117,12,1,0,0
variant_359,95,217,267,417,716
variant_360,475,477,219,162,148
variant_361,59,82,49,88,106
variant_362,189,588,692,766,1011
variant_363,926,141,63,56,42
variant_364,377,553,480,768,932
variant_365,1477,1631,648,644,487
variant_366,21,0,1,0,2
variant_367,224,768,946,1432,2409
variant_368,61,269,226,283,443
variant_369,427,48,8,6,2
variant_370,427,777,800,986,1370
variant_371,27,83,19,9,12
variant_372,51,4,1,1,3
variant_373,382,43,17,20,5
variant_374,80,6,4,2,0
variant_375,140,16,0,1,0
variant_376,212,62,18,16,10
variant_377,166,87,46,41,35
variant_378,145,5,2,0,0
variant_379,434,212,39,16,1
variant_380,553,204,139,187,215
variant_381,343,29,10,5,7
variant_382,245,98,58,49,33
variant_383,377,564,412,394,627
variant_384,252,625,772,1080,1484
variant_385,143,215,206,258,354
variant_386,147,47,5,1,2
variant_387,567,1387,1295,1640,2316
variant_388,178,584,330,260,789
variant_389,78,67,27,19,10
variant_390,491,121,14,7,4
variant_391,875,103,16,6,7
variant_392,6,8,12,8,8
variant_393,158,261,197,195,363
variant_394,141,236,160,173,226
variant_395,75,15,4,1,1
variant_396,23,3,0,0,0
variant_397,95,183,145,227,282
variant_398,390,723,429,497,414
variant_399,188,14,1,0,0
variant_400,603,30,2,0,2
variant_401,418,46,0,1,1
variant_402,193,229,219,314,431
variant_403,353,643,596,1183,1378
variant_404,1153,136,25,44,33
variant_405,99,52,1,7,5
variant_406,37,17,9,12,17
variant_407,125,2,1,0,3
variant_408,221,320,360,504,640
variant_409,97,20,5,9,2
variant_410,185,46,15,14,4
variant_411,251,453,321,359,469
variant_412,12,0,0,0,0
variant_413,15,0,0,0,0
variant_414,1158,1941,1688,2190,3435
variant_415,338,374,419,636,910
variant_416,480,34,1,1,1
variant_417,512,371,413,547,751
variant_418,212,18,8,9,3
variant_419,386,53,25,18,19
variant_420,437,60,0,1,0
variant_421,153,49,11,5,2
variant_422,911,991,760,913,803
variant_423,231,124,177,257,388
variant_424,1493,2068,2083,2964,3841
variant_425,99,0,0,0,1
variant_426,22,0,0,0,0
variant_427,542,358,208,142,93
variant_428,196,31,2,0,2
variant_429,1608,300,28,15,2
variant_430,25,0,2,1,1
variant_431,59,3,2,1,6
variant_432,36,0,1,0,0
variant_433,596,1157,981,1295,1821
variant_434,265,127,99,165,193
variant_435,67,50,24,23,47
variant_436,1289,274,4,6,2
variant_437,36,1,3,2,0
variant_438,133,168,207,367,595
variant_439,616,61,5,3,2
variant_440,20,15,7,3,5
variant_441,1453,4763,4273,6677,10315
variant_442,25,0,0,0,1
variant_443,105,18,1,0,0
variant_444,118,33,0,0,0
variant_445,62,49,52,86,110
variant_446,84,47,8,17,15
variant_447,13,0,0,0,0
variant_448,147,95,59,83,102
variant_449,1160,1105,766,963,974
variant_450,189,116,142,129,226
variant_451,221,0,1,0,1
variant_452,242,80,20,14,31
variant_453,97,1,1,0,1
variant_454,23,0,0,0,1
variant_455,360,21,4,6,2
variant_456,352,260,98,106,75
variant_457,12,1,0,0,0
variant_458,85,29,4,1,1
variant_459,244,60,2,4,0
variant_460,15,0,1,0,0
variant_461,1217,113,1,5,0
variant_462,143,162,135,197,199
variant_463,76,67,64,77,134
variant_464,290,73,42,83,78
variant_465,26,0,0,0,0
variant_466,31,47,24,27,37
variant_467,46,0,0,0,0
variant_468,80,44,28,7,11
variant_469,148,59,23,19,17
variant_470,182,778,731,803,1257
variant_471,105,0,3,0,1
variant_472,486,194,81,84,44
variant_473,22,0,0,0,0
variant_474,20,0,0,0,0
variant_475,383,173,124,180,150
variant_476,314,54,25,26,6
variant_477,225,25,0,0,0
variant_478,349,294,286,294,360
variant_479,326,268,256,262,327
variant_480,408,233,113,105,52
variant_481,32,1,0,0,0
variant_482,541,472,447,629,829
variant_483,68,5,1,4,4
variant_484,255,48,26,16,10
variant_485,29,0,2,0,0
variant_486,1191,2784,3077,4243,5251
variant_487,720,213,37,11,4
variant_488,163,34,4,0,0
variant_489,52,0,0,2,0
variant_490,429,29,15,9,2
variant_491,419,385,308,288,367
variant_492,192,70,13,10,7
variant_493,143,61,10,8,10
variant_494,888,1407,1348,1749,2345
variant_495,679,64,16,27,13
variant_496,194,270,187,203,183
variant_497,139,77,38,29,10
variant_498,83,13,16,22,24
variant_499,811,362,152,172,150
variant_500,352,565,503,587,871
variant_501,77,2,1,0,0
variant_502,420,166,81,46,33
variant_503,406,572,443,639,897
variant_504,2111,3633,3226,4545,6183
variant_505,30,0,0,0,0
variant_506,441,2101,2568,2839,4816
variant_507,205,250,169,203,220
variant_508,35,0,0,0,0
variant_509,285,89,15,8,8
variant_510,47,49,38,17,31
variant_511,28,5,19,11,11
variant_512,1487,480,57,73,23
variant_513,31,10,5,5,18
variant_514,459,419,395,460,470
variant_515,263,12,1,2,0
variant_516,657,1626,1442,1564,1638
variant_517,740,116,28,30,4
variant_518,296,522,381,488,474
variant_519,2544,300,65,59,44
variant_520,1490,1323,779,882,1207
variant_521,87,1,1,7,9
variant_522,187,278,133,192,261
variant_523,7,0,0,0,0
variant_524,795,795,658,839,949
variant_525,14,2,2,3,3
variant_526,67,93,94,127,194
variant_527,764,618,496,682,806
variant_528,122,120,62,76,67
variant_529,78,0,0,0,1
variant_530,438,619,472,611,730
variant_531,82,19,12,8,4
variant_532,22,0,0,1,0
variant_533,497,162,96,167,231
variant_534,228,319,345,482,616
variant_535,706,522,579,965,1152
variant_536,1258,1511,1120,1403,1599
variant_537,704,1041,810,829,1039
variant_538,126,190,111,80,54
variant_539,114,130,63,65,43
variant_540,204,122,19,15,7
variant_541,667,45,1,12,13
variant_542,124,49,40,40,28
variant_543,81,17,22,21,30
variant_544,210,56,13,4,0
variant_545,160,74,48,25,16
variant_546,33,1,0,3,0
variant_547,65,68,50,82,126
variant_548,384,640,425,441,554
variant_549,44,19,17,33,26
variant_550,231,29,10,0,0
variant_551,18,0,0,0,0
variant_552,221,362,276,407,560
variant_553,49,35,42,74,83
variant_554,65,43,47,48,81
variant_555,335,113,40,39,40
variant_556,154,72,107,105,197
variant_557,90,40,25,34,48
variant_558,384,331,171,161,166
variant_559,591,45,20,11,3
variant_560,71,51,51,56,95
variant_561,394,447,450,607,763
variant_562,725,202,81,87,34
variant_563,117,222,243,292,405
variant_564,1052,382,132,94,71
variant_565,416,615,677,1231,1682
variant_566,68,0,0,0,0
variant_567,298,16,1,4,0
variant_568,291,33,0,0,0
variant_569,231,177,235,333,402
variant_570,27,0,0,0,0
variant_571,458,238,113,116,90
variant_572,335,130,103,116,147
variant_573,810,290,46,27,22
variant_574,1469,1600,1053,1540,1584
variant_575,45,0,1,0,0
variant_576,33,15,19,15,21
variant_577,86,2,3,5,3
variant_578,105,4,0,0,1
variant_579,467,54,10,8,2
variant_580,408,696,508,546,618
variant_581,9,0,0,0,0
variant_582,47,16,3,3,1
variant_583,481,286,91,50,32
variant_584,84,6,0,0,0
variant_585,1579,1373,1517,2582,3278
variant_586,1017,1791,1909,3042,4172
variant_587,85,5,0,0,0
variant_588,171,324,360,451,734
variant_589,253,332,313,331,476
variant_590,94,7,11,7,4
variant_591,40,9,1,0,0
variant_592,296,61,50,41,39
variant_593,57,0,0,0,0
variant_594,698,94,14,6,2
variant_595,679,902,1196,1808,2310
variant_596,688,2753,2318,2688,4717
variant_597,68,11,13,7,6
variant_598,188,191,198,450,556
variant_599,9,1,0,0,3
variant_600,142,106,113,142,95
variant_601,140,124,61,29,51
variant_602,227,130,126,188,245
variant_603,450,247,35,13,9
variant_604,355,140,26,8,3
variant_605,994,83,30,12,7
variant_606,99,199,162,304,548
variant_607,74,53,51,80,118
variant_608,579,780,969,1370,2362
variant_609,26,0,0,0,0
variant_610,586,382,167,195,169
variant_611,181,24,1,2,2
variant_612,841,249,58,47,40
variant_613,59,0,0,1,0
variant_614,355,894,826,1403,2091
variant_615,144,315,343,511,603
variant_616,195,206,192,258,345
variant_617,233,7,0,0,0
variant_618,905,1747,1667,1995,2435
variant_619,26,0,0,0,0
variant_620,184,44,17,15,15
variant_621,43,1,2,1,0
variant_622,408,1137,931,1178,1707
variant_623,697,1382,1350,1782,2657
variant_624,4,0,0,0,1
variant_625,32,0,0,1,1
variant_626,1273,1153,1037,1612,1760
variant_627,20,3,0,0,0
variant_628,279,41,9,3,0
variant_629,102,141,89,95,61
variant_630,71,378,492,635,965
variant_631,185,53,12,27,16
variant_632,495,374,252,276,186
variant_633,35,0,0,0,0
variant_634,996,855,292,242,112
variant_635,750,53,6,0,4
variant_636,558,58,1,13,2
variant_637,195,21,0,1,0
variant_638,96,51,14,18,12
variant_639,13,0,0,0,0
variant_640,1031,139,19,30,19
variant_641,472,814,823,1196,1843
variant_642,228,41,13,4,8
variant_643,495,830,983,1198,1874
variant_644,20,5,0,3,1
variant_645,737,95,21,28,21
variant_646,250,378,330,331,497
variant_647,268,15,2,1,1
variant_648,11,0,3,0,0
variant_649,1272,402,92,101,47
variant_650,580,655,798,1324,1550
variant_651,714,1573,1750,2544,3521
variant_652,207,398,400,571,709
variant_653,1186,1271,1153,1849,2700
variant_654,43,190,246,390,484
variant_655,264,16,1,0,2
variant_656,22,0,0,0,0
variant_657,283,295,233,256,507
variant_658,42,1,1,8,3
variant_659,118,13,0,0,0
variant_660,75,36,15,20,7
variant_661,149,174,136,125,104
variant_662,69,52,28,21,40
variant_663,505,720,647,955,1495
variant_664,19,0,4,1,1
variant_665,16,0,0,1,0
variant_666,712,538,544,815,1008
variant_667,12,0,0,0,0
variant_668,449,277,111,84,70
variant_669,1012,1390,1128,1399,1869
variant_670,135,340,317,320,465
variant_671,62,21,8,5,13
variant_672,404,68,3,9,3
variant_673,901,1537,1572,2236,2854
variant_674,200,19,3,6,4
variant_675,38,6,2,0,0
variant_676,66,1,2,0,0
variant_677,156,161,176,235,290
variant_678,350,623,613,972,1066
variant_679,203,22,0,0,0
variant_680,485,550,361,391,393
variant_681,338,23,12,10,1
variant_682,244,25,7,8,2
variant_683,277,417,389,655,1189
variant_684,757,1304,1007,1343,1710
variant_685,508,1024,1135,1776,2176
variant_686,383,124,52,25,18
variant_687,220,49,9,22,9
variant_688,113,68,66,65,76
variant_689,44,1,0,1,2
variant_690,16,0,0,0,0
variant_691,469,436,348,359,410
variant_692,59,56,37,31,36
variant_693,34,0,0,0,0
variant_694,173,11,0,0,0
variant_695,164,101,37,38,24
variant_696,47,4,1,13,6
variant_697,510,941,741,861,1063
variant_698,1487,240,29,30,15
variant_699,453,89,31,13,9
variant_700,275,644,595,633,1041
variant_701,130,9,0,3,0
variant_702,31,7,0,0,0
variant_703,106,306,259,409,673
variant_704,113,21,0,0,1
variant_705,344,566,505,672,779
variant_706,160,65,48,12,9
variant_707,589,334,135,143,117
variant_708,882,465,567,798,918
variant_709,300,35,8,16,11
variant_710,34,0,0,0,0
variant_711,30,5,1,8,4
variant_712,87,1,3,0,0
variant_713,486,49,4,1,4
variant_714,322,224,95,60,105
variant_715,1680,383,51,36,28
variant_716,417,109,1,4,1
variant_717,301,246,162,326,288
variant_718,13,2,0,2,1
variant_719,710,582,213,212,175
variant_720,70,11,12,18,26
variant_721,1000,1523,1245,1940,2122
variant_722,1020,885,1038,1374,1637
variant_723,358,259,66,60,20
variant_724,58,0,0,0,0
variant_725,615,428,404,539,447
variant_726,37,2,0,0,0
variant_727,191,65,21,12,20
variant_728,15,0,0,0,0
variant_729,56,28,18,4,1
variant_730,12,1,0,0,0
variant_731,527,738,497,562,574
variant_732,540,67,27,43,32
variant_733,154,121,115,221,237
variant_734,7,0,1,1,1
variant_735,20,3,0,2,5
variant_736,108,20,17,22,25
variant_737,369,378,344,406,674
variant_738,134,11,1,0,0
variant_739,29,1,0,2,2
variant_740,285,48,31,34,9
variant_741,193,449,529,760,1103
variant_742,231,466,623,979,1423
variant_743,128,158,105,129,114
variant_744,67,92,57,47,35
variant_745,832,655,383,568,639
variant_746,33,0,0,0,0
variant_747,1095,69,15,17,8
variant_748,283,567,288,313,393
variant_749,125,112,115,118,229
variant_750,192,66,18,8,6
variant_751,46,5,2,1,1
variant_752,140,18,6,10,1
variant_753,529,853,769,1355,1944
variant_754,45,183,219,332,471
variant_755,70,31,33,36,40
variant_756,544,303,216,262,248
variant_757,266,454,505,640,756
variant_758,531,504,223,125,94
variant_759,130,163,160,244,317
variant_760,330,5,4,0,4
variant_761,108,207,249,321,460
variant_762,131,14,16,9,4
variant_763,147,16,2,3,7
variant_764,1428,3927,3848,5213,7807
variant_765,72,5,1,2,0
variant_766,241,331,369,638,884
variant_767,148,83,69,57,47
variant_768,377,63,34,45,32
variant_769,1330,369,49,35,9
variant_770,1225,1303,1222,1621,1936
variant_771,625,145,82,102,95
variant_772,693,340,103,115,65
variant_773,286,841,930,1573,1779
variant_774,227,769,546,1009,1431
variant_775,102,23,0,0,0
variant_776,300,220,110,131,115
variant_777,70,130,97,54,206
variant_778,21,0,0,1,0
variant_779,594,1404,1281,1559,2425
variant_780,1079,1893,1707,2386,2670
variant_781,172,44,20,33,38
variant_782,275,181,94,61,51
variant_783,61,5,0,5,3
variant_784,686,765,588,611,679
variant_785,517,1288,1176,1518,2301
variant_786,4,0,0,0,0
variant_787,456,230,108,97,95
variant_788,584,90,13,11,15
variant_789,11,1,0,0,0
variant_790,412,376,383,700,833
variant_791,31,0,0,0,0
variant_792,325,439,492,728,999
variant_793,121,48,9,18,2
variant_794,547,77,22,21,8
variant_795,274,606,661,1084,1401
variant_796,319,174,81,92,62
variant_797,24,0,0,0,0
variant_798,53,0,0,0,1
variant_799,69,25,5,5,7
variant_800,383,299,164,199,161
variant_801,14,13,7,3,2
variant_802,99,4,1,0,0
variant_803,138,82,63,32,74
variant_804,1575,4413,5287,8051,12249
variant_805,802,724,380,391,397
variant_806,18,1,1,0,0
variant_807,15,0,0,0,0
variant_808,42,36,40,46,52
variant_809,937,1098,936,1244,1348
variant_810,1306,441,146,71,47
variant_811,1057,95,18,12,4
variant_812,21,0,0,4,0
variant_813,1400,1729,963,1118,1075
variant_814,110,69,87,188,204
variant_815,364,232,48,51,43
variant_816,212,78,13,0,0
variant_817,460,847,887,1276,1672
variant_818,16,31,34,41,92
variant_819,8,2,0,0,0
variant_820,584,132,8,0,2
variant_821,90,20,29,21,38
variant_822,609,71,1,0,0
variant_823,21,0,0,0,0
variant_824,223,355,275,488,720
variant_825,213,66,25,12,5
variant_826,50,0,0,0,0
variant_827,672,752,641,1018,1327
variant_828,16,0,2,2,5
variant_829,11,1,0,1,1
variant_830,100,6,6,2,0
variant_831,18,2,0,0,0
variant_832,580,581,381,614,763
variant_833,700,46,1,4,1
variant_834,819,1929,2034,3286,4701
variant_835,227,101,31,17,11
variant_836,15,0,0,0,0
variant_837,708,1432,1555,2407,2934
variant_838,46,45,22,38,52
variant_839,348,63,12,0,0
variant_840,479,262,56,15,10
variant_841,483,53,4,4,3
variant_842,480,47,2,1,2
variant_843,319,451,480,566,896
variant_844,381,566,330,258,278
variant_845,172,0,2,0,0
variant_846,605,1123,893,1027,1293
variant_847,180,13,0,0,4
variant_848,366,665,700,954,1389
variant_849,10,0,0,0,0
variant_850,119,0,4,0,2
variant_851,96,6,5,9,5
variant_852,217,4,2,2,0
variant_853,790,1478,1489,2201,3326
variant_854,199,23,0,0,0
variant_855,1430,674,244,140,67
variant_856,22,1,0,2,4
variant_857,272,151,77,117,131
variant_858,486,305,44,22,8
variant_859,945,1573,1642,3146,3990
variant_860,220,12,1,0,1
variant_861,4310,9539,8830,11268,13196
variant_862,946,989,642,773,713
variant_863,134,7,0,0,0
variant_864,317,357,171,135,269
variant_865,1026,679,616,708,644
variant_866,309,607,562,839,1022
variant_867,158,145,68,36,47
variant_868,251,33,5,4,3
variant_869,80,126,73,37,80
variant_870,363,589,597,722,825
variant_871,122,53,17,20,12
variant_872,335,554,500,502,510
variant_873,318,327,57,62,25
variant_874,25,6,4,1,2
variant_875,47,0,0,0,0
variant_876,99,23,10,9,3
variant_877,970,51,0,8,7
variant_878,224,86,21,21,19
variant_879,24,0,0,0,0
variant_880,576,51,28,11,17
variant_881,51,10,9,11,14
variant_882,19,0,0,2,0
variant_883,272,666,737,1044,1501
variant_884,34,0,0,0,0
variant_885,1043,200,40,35,29
variant_886,182,35,30,48,44
variant_887,108,186,171,252,323
variant_888,56,3,0,1,0
variant_889,612,79,0,0,0
variant_890,848,1130,951,1538,1567
variant_891,601,530,604,710,993
variant_892,1137,2081,2312,3257,4315
variant_893,8,0,0,1,0
variant_894,14,0,0,0,0
variant_895,161,11,3,0,1
variant_896,266,82,52,69,122
variant_897,137,18,1,0,1
variant_898,334,421,388,731,663
variant_899,92,104,55,89,59
variant_900,279,20,5,1,0
